human_ensembl_gene_id,human_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot
ENSG00000003393,Q96Q42,ENSMUSG00000026024,801.334739585851,14.1
ENSG00000010256,P31930,ENSMUSG00000025651,3759.86908381498,70.1
ENSG00000021826,P31327,ENSMUSG00000025991,49612.9376892289,1386.2
ENSG00000023228,P28331,ENSMUSG00000025968,1830.75140038631,87.9
ENSG00000048162,Q9Y3C1,ENSMUSG00000025869,323.710741675854,58.5
ENSG00000055044,Q9Y2X3,ENSMUSG00000026020,730.963231468315,38.0
ENSG00000073417,O60658,ENSMUSG00000025584,447.009745401411,
ENSG00000075914,Q15024,ENSMUSG00000025785,491.561128904481,62.9
ENSG00000078687,Q9HCJ0,ENSMUSG00000025571,571.528915251832,278.2
ENSG00000079739,P36871,ENSMUSG00000025791,2066.90402491789,165.4
ENSG00000084754,P40939,ENSMUSG00000025745,3187.33658855613,175.3
ENSG00000088387,Q9BZ29,ENSMUSG00000025558,222.316195186941,186.8
ENSG00000099250,O14786,ENSMUSG00000025810,363.436930728236,
ENSG00000103269,O75783,ENSMUSG00000025735,115.675750610391,
ENSG00000175866,Q9UQB8,ENSMUSG00000025372,1600.57171240998,44.9
ENSG00000179222,Q9Y5V3,ENSMUSG00000025151,1386.85211200807,230.0
ENSG00000182199,P34897,ENSMUSG00000025403,4146.51325689786,35.0
ENSG00000182208,Q70IA6,ENSMUSG00000025147,231.029305936572,45.0
ENSG00000185624,P07237,ENSMUSG00000025130,38315.4605116408,339.4
ENSG00000185813,Q99447,ENSMUSG00000025137,20442.2244708965,43.8
ENSG00000189221,P21397,ENSMUSG00000025037,174.421177475877,27.7
ENSG00000197142,Q9ULC5,ENSMUSG00000024981,6921.49864015889,38.0
ENSG00000197728,P62854,ENSMUSG00000025362,5933.99652373217,162.0
ENSG00000198682,O95340,ENSMUSG00000024899,2458.75015070328,78.9
ENSG00000198814,P32189,ENSMUSG00000025059,1126.578348946,9.6
ENSG00000198924,Q6PJP8,ENSMUSG00000025077,306.757743655028,
ENSG00000211456,Q9NTJ5,ENSMUSG00000025240,1150.61399141745,145.4
ENSG00000213614,P06865,ENSMUSG00000025232,625.103265421493,32.2
ENSG00000257727,Q9Y2B0,ENSMUSG00000025381,2115.45908572614,113.3
ENSG00000114648,O94889,ENSMUSG00000054792,169.482754491801,35.8
ENSG00000130402,O43707,ENSMUSG00000054808,3087.51849700463,38.7
ENSG00000133818,P62070,ENSMUSG00000055723,244.103596801508,64.2
ENSG00000137845,O14672,ENSMUSG00000054693,365.712702342717,50.5
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000040134,21684.8829617395,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000054052,1.17060464209342,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000056148,752.381084633795,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000069456,2549.14149778041,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000074639,5467.86271618613,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000139547,O75452,ENSMUSG00000089789,0.0,143.0
ENSG00000198028,Q96MR9,ENSMUSG00000055150,23.3848032491048,
ENSG00000136881,Q14032,ENSMUSG00000039653,5143.63838802251,
ENSG00000137449,Q7Z5Q1,ENSMUSG00000039782,715.527427737394,19.8
ENSG00000137801,P07996,ENSMUSG00000040152,17.5592045390584,44.8
ENSG00000146054,Q9C029,ENSMUSG00000040350,447.931049865555,
ENSG00000147586,Q9Y2Q9,ENSMUSG00000040269,752.686028512292,136.6
ENSG00000148965,P35542,ENSMUSG00000040017,3610.14878832736,9.5
ENSG00000153187,Q00839,ENSMUSG00000039630,4736.34801896252,161.9
ENSG00000153956,P54289,ENSMUSG00000040118,27.4274770103954,133.5
