human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,1655.46115159401,-1.0928159441072802
ENSG00000003393,Q920R0,ENSMUSG00000026024,1655.46115159401,-1.0928159441072802
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4255.88141690675,1.6943649252143824
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4255.88141690675,1.6943649252143824
ENSG00000021826,Q8C196,ENSMUSG00000025991,80242.1232169065,4.0146556925659675
ENSG00000021826,Q8C196,ENSMUSG00000025991,80242.1232169065,4.0146556925659675
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1736.7216213897,0.40486705335789147
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1736.7216213897,0.40486705335789147
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,390.548628492344,0.10165041115497608
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,338.561455711222,-0.8340013113373268
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,338.561455711222,-0.8340013113373268
ENSG00000064012,O89110,ENSMUSG00000026029,417.755254363416,
ENSG00000064012,O89110,ENSMUSG00000026029,417.755254363416,
ENSG00000072135,Q61152,ENSMUSG00000026126,62.4551785033187,0.9221593360887241
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,271.6632769964,
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,271.6632769964,
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,343.291064998073,-0.11017991339851745
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,4410.91989370362,1.2326496697496487
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,4410.91989370362,1.2326496697496487
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,6378.6279619595,1.6493560517773418
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,6378.6279619595,1.6493560517773418
ENSG00000103269,Q8VC82,ENSMUSG00000025735,41.167102245965,
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,804.833039488561,-0.5557305916113412
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,804.833039488561,-0.5557305916113412
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,3992.25911326124,0.858008413994296
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,3992.25911326124,0.858008413994296
ENSG00000182208,Q8VI63,ENSMUSG00000025147,381.038825146002,-0.4401388804061782
ENSG00000185624,P09103,ENSMUSG00000025130,17310.2624302947,2.096997569045096
ENSG00000185624,P09103,ENSMUSG00000025130,17310.2624302947,2.096997569045096
ENSG00000185664,Q60696,ENSMUSG00000025359,5.45954926981861,0.5160323216224327
ENSG00000185813,Q922E4,ENSMUSG00000025137,4901.50925638368,-0.07093311844164284
ENSG00000185813,Q922E4,ENSMUSG00000025137,4901.50925638368,-0.07093311844164284
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,687.063643703704,-0.37101800530425666
ENSG00000189221,Q64133,ENSMUSG00000025037,344.643490936038,-0.31116497947076294
ENSG00000189221,Q64133,ENSMUSG00000025037,344.643490936038,-0.31116497947076294
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,368.333855405041,-0.030931655765755715
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,368.333855405041,-0.030931655765755715
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,9548.38323002854,1.6160741676577464
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,9548.38323002854,1.6160741676577464
ENSG00000197728,P62855,ENSMUSG00000025362,2654.90382160203,0.9692757297410592
ENSG00000197728,P62855,ENSMUSG00000025362,2654.90382160203,0.9692757297410592
ENSG00000198682,O88428,ENSMUSG00000024899,6822.16455801213,1.7258900862760236
ENSG00000198682,O88428,ENSMUSG00000024899,6822.16455801213,1.7258900862760236
ENSG00000198814,Q64516,ENSMUSG00000025059,1457.17401658877,-1.9312629061292217
ENSG00000198814,Q64516,ENSMUSG00000025059,1457.17401658877,-1.9312629061292217
ENSG00000229894,Q64516,ENSMUSG00000025059,1457.17401658877,-1.9312629061292217
ENSG00000229894,Q64516,ENSMUSG00000025059,1457.17401658877,-1.9312629061292217
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1488.9319339089,0.6288517064634567
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1488.9319339089,0.6288517064634567
ENSG00000213614,P29416,ENSMUSG00000025232,1012.89317092561,0.035350968850426656
ENSG00000213614,P29416,ENSMUSG00000025232,1012.89317092561,0.035350968850426656
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2024.56647621073,0.6207405428253836
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2024.56647621073,0.6207405428253836
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1181.26242859535,0.09241360490448161
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1181.26242859535,0.09241360490448161
ENSG00000115459,Q91YP6,ENSMUSG00000056698,298.979725989479,0.9837116044951749
ENSG00000115525,O88829,ENSMUSG00000056091,1734.49894958981,
ENSG00000115525,O88829,ENSMUSG00000056091,1734.49894958981,
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,677.886881978308,-0.0816991604827031
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,677.886881978308,-0.0816991604827031
ENSG00000130402,P57780,ENSMUSG00000054808,3959.05875068784,0.6414814949246085
ENSG00000130402,P57780,ENSMUSG00000054808,3959.05875068784,0.6414814949246085
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2472.7776575064,0.5044928195236944
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2472.7776575064,0.5044928195236944
ENSG00000133020,P13542,ENSMUSG00000055775,2.55279094490517,-0.6993282724979764
ENSG00000133020,P13542,ENSMUSG00000055775,2.55279094490517,-0.6993282724979764
ENSG00000133818,P62071,ENSMUSG00000055723,348.033630914644,-0.32717707425220566
ENSG00000133818,P62071,ENSMUSG00000055723,348.033630914644,-0.32717707425220566
ENSG00000137845,O35598,ENSMUSG00000054693,834.962871033644,-0.18350126657586951
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O88451,ENSMUSG00000040134,19203.3541312733,1.9706443744512492
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000139547,O54909,ENSMUSG00000069456,2292.32691409123,-0.15083707102522145
ENSG00000159596,Q3KQJ0,ENSMUSG00000055900,233.463443057411,-1.152525370800071
ENSG00000163220,P31725,ENSMUSG00000056071,19.9736850345823,-1.4651067521477452
ENSG00000163220,P31725,ENSMUSG00000056071,19.9736850345823,-1.4651067521477452
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,170.309802483394,-1.6568038116037733
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,170.309802483394,-1.6568038116037733
ENSG00000136881,Q91X34,ENSMUSG00000039653,3747.8764275592,0.34415887486907537
ENSG00000136881,Q91X34,ENSMUSG00000039653,3747.8764275592,0.34415887486907537
ENSG00000137944,Q71RI9,ENSMUSG00000040213,2573.10917467062,0.20362487932079965
ENSG00000137944,Q71RI9,ENSMUSG00000040213,2573.10917467062,0.20362487932079965
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,1906.46604024037,0.5841038416471189
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,1906.46604024037,0.5841038416471189
ENSG00000145041,Q80TR8,ENSMUSG00000040325,566.039928481729,-2.2061571102474633
ENSG00000147586,Q9CY16,ENSMUSG00000040269,279.246872992609,0.4836829919321329
ENSG00000147586,Q9CY16,ENSMUSG00000040269,279.246872992609,0.4836829919321329
ENSG00000148965,P31532,ENSMUSG00000040017,3447.5887079808,
ENSG00000153187,Q8VEK3,ENSMUSG00000039630,4546.57948122286,1.2441029037072058
