human_ensembl_gene_id,human_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot
ENSG00000003393,Q96Q42,ENSMUSG00000026024,1945.42077332206,5.6
ENSG00000010256,P31930,ENSMUSG00000025651,5596.83893523646,41.1
ENSG00000021826,P31327,ENSMUSG00000025991,79417.6706946679,777.4
ENSG00000023228,P28331,ENSMUSG00000025968,1525.62217054642,53.8
ENSG00000048162,Q9Y3C1,ENSMUSG00000025869,500.148911702897,31.9
ENSG00000055044,Q9Y2X3,ENSMUSG00000026020,342.03422993087,13.9
ENSG00000073417,O60658,ENSMUSG00000025584,745.03870796429,
ENSG00000075914,Q15024,ENSMUSG00000025785,429.026761459215,32.2
ENSG00000078687,Q9HCJ0,ENSMUSG00000025571,576.406800959303,102.2
ENSG00000079739,P36871,ENSMUSG00000025791,4976.3849501578,89.9
ENSG00000084754,P40939,ENSMUSG00000025745,7368.78602754999,99.4
ENSG00000088387,Q9BZ29,ENSMUSG00000025558,291.905512356647,75.6
ENSG00000099250,O14786,ENSMUSG00000025810,1609.74826913253,
ENSG00000103269,O75783,ENSMUSG00000025735,16.5813056538117,
ENSG00000175866,Q9UQB8,ENSMUSG00000025372,1060.03519199376,19.1
ENSG00000179222,Q9Y5V3,ENSMUSG00000025151,1350.59242221259,82.2
ENSG00000182199,P34897,ENSMUSG00000025403,5251.62832322043,19.4
ENSG00000182208,Q70IA6,ENSMUSG00000025147,447.098834224023,19.9
ENSG00000185624,P07237,ENSMUSG00000025130,25183.9874249964,220.9
ENSG00000185813,Q99447,ENSMUSG00000025137,8106.51320800181,23.3
ENSG00000189221,P21397,ENSMUSG00000025037,201.136251578286,11.7
ENSG00000197142,Q9ULC5,ENSMUSG00000024981,9010.86220500544,13.4
ENSG00000197728,P62854,ENSMUSG00000025362,3350.35717399243,81.9
ENSG00000198682,O95340,ENSMUSG00000024899,7548.10110752154,52.9
ENSG00000198814,P32189,ENSMUSG00000025059,1931.76462261361,6.0
ENSG00000198924,Q6PJP8,ENSMUSG00000025077,205.294457780136,
ENSG00000211456,Q9NTJ5,ENSMUSG00000025240,1149.40287442385,67.5
ENSG00000213614,P06865,ENSMUSG00000025232,949.697265566958,24.6
ENSG00000257727,Q9Y2B0,ENSMUSG00000025381,1636.11884845895,49.9
ENSG00000114648,O94889,ENSMUSG00000054792,201.980718011253,19.4
ENSG00000130402,O43707,ENSMUSG00000054808,3469.90416374835,20.0
ENSG00000133818,P62070,ENSMUSG00000055723,352.865158834766,21.3
ENSG00000137845,O14672,ENSMUSG00000054693,546.138696876704,24.3
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000040134,30699.181165826,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000054052,1.03678769522205,36.8
ENSG00000139547,O75452,ENSMUSG00000056148,2235.84212676327,36.8
ENSG00000139547,O75452,ENSMUSG00000056148,2235.84212676327,36.8
ENSG00000139547,O75452,ENSMUSG00000056148,2235.84212676327,36.8
ENSG00000139547,O75452,ENSMUSG00000056148,2235.84212676327,36.8
ENSG00000139547,O75452,ENSMUSG00000056148,2235.84212676327,36.8
