human_ensembl_gene_id,human_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_prot
ENSG00000003393,Q96Q42,ENSMUSG00000026024,1015.68920827596,35.7
ENSG00000010256,P31930,ENSMUSG00000025651,3896.69854063051,105.3
ENSG00000021826,P31327,ENSMUSG00000025991,37603.9102305401,1053.4
ENSG00000023228,P28331,ENSMUSG00000025968,1519.01229489296,199.5
ENSG00000048162,Q9Y3C1,ENSMUSG00000025869,271.200541706388,96.6
ENSG00000055044,Q9Y2X3,ENSMUSG00000026020,413.208324139369,18.9
ENSG00000073417,O60658,ENSMUSG00000025584,532.765481355837,85.3
ENSG00000075914,Q15024,ENSMUSG00000025785,429.11793481551,78.2
ENSG00000078687,Q9HCJ0,ENSMUSG00000025571,762.370593240684,58.5
ENSG00000079739,P36871,ENSMUSG00000025791,2651.31889923297,248.4
ENSG00000084754,P40939,ENSMUSG00000025745,4975.6501817808,138.9
ENSG00000088387,Q9BZ29,ENSMUSG00000025558,451.55686398301,237.0
ENSG00000099250,O14786,ENSMUSG00000025810,692.711156942444,106.9
ENSG00000103269,O75783,ENSMUSG00000025735,152.173191316886,285.2
ENSG00000175866,Q9UQB8,ENSMUSG00000025372,991.15417440301,29.1
ENSG00000179222,Q9Y5V3,ENSMUSG00000025151,1122.94816534719,210.7
ENSG00000182199,P34897,ENSMUSG00000025403,4547.45383904658,39.8
ENSG00000182208,Q70IA6,ENSMUSG00000025147,387.677160510157,19.7
ENSG00000185624,P07237,ENSMUSG00000025130,30168.1449162377,172.7
ENSG00000185813,Q99447,ENSMUSG00000025137,25175.3552830032,77.9
ENSG00000189221,P21397,ENSMUSG00000025037,172.157287586324,27.4
ENSG00000197142,Q9ULC5,ENSMUSG00000024981,5090.50258488067,47.4
ENSG00000197728,P62854,ENSMUSG00000025362,3931.16961579072,85.2
ENSG00000198682,O95340,ENSMUSG00000024899,4191.14993018725,132.8
ENSG00000198814,P32189,ENSMUSG00000025059,2081.50354655045,77.0
ENSG00000198924,Q6PJP8,ENSMUSG00000025077,659.961315760047,16.7
ENSG00000211456,Q9NTJ5,ENSMUSG00000025240,835.710497413943,61.0
ENSG00000213614,P06865,ENSMUSG00000025232,671.63981446829,24.6
ENSG00000257727,Q9Y2B0,ENSMUSG00000025381,1795.04359643691,76.3
ENSG00000114648,O94889,ENSMUSG00000054792,198.120610477138,
ENSG00000130402,O43707,ENSMUSG00000054808,2552.00651620897,87.6
ENSG00000133818,P62070,ENSMUSG00000055723,163.112464812467,19.3
ENSG00000137845,O14672,ENSMUSG00000054693,314.155963443442,
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000040134,23901.796280203,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000054052,0.0,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000056148,3219.06095871849,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000069456,3519.26145956984,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000074639,8978.22535530718,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000139547,O75452,ENSMUSG00000089789,22.6522744425164,85.2
ENSG00000198028,Q96MR9,ENSMUSG00000055150,38.0146001140081,147.6
ENSG00000136881,Q14032,ENSMUSG00000039653,5241.73529211243,81.3
ENSG00000137449,Q7Z5Q1,ENSMUSG00000039782,497.018025002378,12.6
ENSG00000137801,P07996,ENSMUSG00000040152,3.39784137318047,36.0
ENSG00000146054,Q9C029,ENSMUSG00000040350,407.384525115716,101.4
ENSG00000147586,Q9Y2Q9,ENSMUSG00000040269,443.984228940419,82.2
ENSG00000148965,P35542,ENSMUSG00000040017,4062.68475014675,
ENSG00000153187,Q00839,ENSMUSG00000039630,6310.60155573456,129.6
ENSG00000153956,P54289,ENSMUSG00000040118,26.528813209176,81.7
ENSG00000165325,Q05D60,ENSMUSG00000039977,1.86064281793665,
ENSG00000165810,Q6UXG8,ENSMUSG00000040283,57.9472960945004,307.2
ENSG00000166986,P56192,ENSMUSG00000040354,847.981199254753,77.2
ENSG00000112290,Q92558,ENSMUSG00000019831,22.984498698997,
ENSG00000112335,O60493,ENSMUSG00000019804,1115.69577490672,189.4
ENSG00000112339,Q9Y450,ENSMUSG00000019977,1491.4620517808,77.2
ENSG00000112769,Q16363,ENSMUSG00000019846,41.5163219771402,24.1
ENSG00000113643,P54136,ENSMUSG00000018848,455.998505371496,24.9
ENSG00000115266,O95996,ENSMUSG00000020135,8.10072144443753,134.9
ENSG00000118520,P05089,ENSMUSG00000019987,18285.5363752335,193.5
ENSG00000120265,P22061,ENSMUSG00000019795,787.361031074341,41.0
ENSG00000120860,Q9Y3C0,ENSMUSG00000020056,370.461798518181,17.2
ENSG00000122884,P13674,ENSMUSG00000019916,272.619263162431,
ENSG00000122958,O75436,ENSMUSG00000020078,786.681618661232,37.8
ENSG00000130347,Q8WWV3,ENSMUSG00000019864,266.931354306802,40.3
ENSG00000130349,Q9P0P8,ENSMUSG00000019797,463.043845600861,68.3
ENSG00000130479,Q66K74,ENSMUSG00000019261,191.30175302928,
ENSG00000131100,P36543,ENSMUSG00000019210,1418.95466409059,24.6
ENSG00000133773,Q9P031,ENSMUSG00000019897,380.491322137258,333.0
ENSG00000135525,Q14244,ENSMUSG00000019996,636.003308785075,
ENSG00000135597,Q96D71,ENSMUSG00000019854,679.272522041044,68.7
ENSG00000135655,Q9Y4E8,ENSMUSG00000020124,624.433818445377,
ENSG00000137486,P49407,ENSMUSG00000018909,239.277100739597,8.8
ENSG00000139343,P62306,ENSMUSG00000020018,39.6414527145821,88.0
ENSG00000141030,Q9UNS2,ENSMUSG00000019373,767.058768386653,23.5
ENSG00000141738,Q14451,ENSMUSG00000019312,2876.84642192935,38.4
ENSG00000146648,P00533,ENSMUSG00000020122,840.317091569084,19.8
ENSG00000135720,O43237,ENSMUSG00000035770,598.795770223669,14.6
ENSG00000137106,Q9UBQ7,ENSMUSG00000035637,1795.64598448622,191.5
ENSG00000137124,P30837,ENSMUSG00000035561,855.132275665505,140.5
ENSG00000138663,Q9BT78,ENSMUSG00000035297,578.431448174284,46.3
ENSG00000138674,O94979,ENSMUSG00000035325,2210.68213579134,89.4
ENSG00000138750,Q7Z3B4,ENSMUSG00000034826,353.139811540112,30.3
ENSG00000139915,Q7Z553,ENSMUSG00000034912,0.0,171.1
ENSG00000144746,O75915,ENSMUSG00000035199,473.432380278271,26.1
ENSG00000146094,Q7L591,ENSMUSG00000035711,144.369644781609,50.8
ENSG00000149243,Q6PF15,ENSMUSG00000035298,6.59721215426452,488.8
ENSG00000149532,Q8N684,ENSMUSG00000034820,1716.55728583717,
ENSG00000151365,Q92748,ENSMUSG00000035686,4343.39502791207,66.9
ENSG00000151500,Q9P016,ENSMUSG00000035443,317.502008974929,141.7
ENSG00000162390,Q8WXI4,ENSMUSG00000034853,159.103405911969,27.0
ENSG00000167658,P13639,ENSMUSG00000034994,16552.5473927422,136.8
ENSG00000173581,Q9BWC9,ENSMUSG00000035228,1.20859372660869,190.4
ENSG00000173611,Q8N9R8,ENSMUSG00000035236,96.7966494904759,
ENSG00000100197,P10635,ENSMUSG00000022445,27209.461455219,
ENSG00000100197,P10635,ENSMUSG00000022445,27209.461455219,
ENSG00000100197,P10635,ENSMUSG00000022445,27209.461455219,
ENSG00000100197,P10635,ENSMUSG00000022445,27209.461455219,
ENSG00000100197,P10635,ENSMUSG00000022445,27209.461455219,
ENSG00000100197,P10635,ENSMUSG00000061740,7037.93429025483,
