human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,1191.11764497171,40.9
ENSG00000003393,Q920R0,ENSMUSG00000026024,1191.11764497171,40.9
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3476.93299227985,329.9
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,3476.93299227985,329.9
ENSG00000021826,Q8C196,ENSMUSG00000025991,32032.3460917486,1654.5
ENSG00000021826,Q8C196,ENSMUSG00000025991,32032.3460917486,1654.5
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1570.25693791402,195.4
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1570.25693791402,195.4
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,405.45747174192,117.7
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,424.124865750443,24.5
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,424.124865750443,24.5
ENSG00000064012,O89110,ENSMUSG00000026029,433.505952440807,26.5
ENSG00000064012,O89110,ENSMUSG00000026029,433.505952440807,26.5
ENSG00000072135,Q61152,ENSMUSG00000026126,85.857638650807,136.8
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,271.635516330341,22.9
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,271.635516330341,22.9
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,478.146685649658,96.1
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2726.70926278553,411.7
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,2726.70926278553,411.7
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,4574.02948601458,192.7
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,4574.02948601458,192.7
ENSG00000103269,Q8VC82,ENSMUSG00000025735,150.021933730266,259.6
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,950.840230243351,28.2
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,950.840230243351,28.2
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4174.23912009392,148.1
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4174.23912009392,148.1
ENSG00000182208,Q8VI63,ENSMUSG00000025147,349.226749934115,19.5
ENSG00000185624,P09103,ENSMUSG00000025130,21660.3044670681,139.5
ENSG00000185624,P09103,ENSMUSG00000025130,21660.3044670681,139.5
ENSG00000185664,Q60696,ENSMUSG00000025359,7.30158359844611,
ENSG00000185813,Q922E4,ENSMUSG00000025137,20975.8743372438,124.5
ENSG00000185813,Q922E4,ENSMUSG00000025137,20975.8743372438,124.5
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,1326.6714655664,85.1
ENSG00000189221,Q64133,ENSMUSG00000025037,169.192998976049,50.8
ENSG00000189221,Q64133,ENSMUSG00000025037,169.192998976049,50.8
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,564.02948980244,95.5
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,564.02948980244,95.5
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,5513.5370293978,294.8
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,5513.5370293978,294.8
ENSG00000197728,P62855,ENSMUSG00000025362,4789.84884638007,90.1
ENSG00000197728,P62855,ENSMUSG00000025362,4789.84884638007,90.1
ENSG00000198682,O88428,ENSMUSG00000024899,3363.31105173513,154.7
ENSG00000198682,O88428,ENSMUSG00000024899,3363.31105173513,154.7
ENSG00000198814,Q64516,ENSMUSG00000025059,2357.49789586324,75.7
ENSG00000198814,Q64516,ENSMUSG00000025059,2357.49789586324,75.7
ENSG00000229894,Q64516,ENSMUSG00000025059,2357.49789586324,75.7
ENSG00000229894,Q64516,ENSMUSG00000025059,2357.49789586324,75.7
ENSG00000211456,Q9EP69,ENSMUSG00000025240,924.144718595045,65.6
ENSG00000211456,Q9EP69,ENSMUSG00000025240,924.144718595045,65.6
ENSG00000213614,P29416,ENSMUSG00000025232,897.092145652132,25.9
ENSG00000213614,P29416,ENSMUSG00000025232,897.092145652132,25.9
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2087.3242788,59.0
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2087.3242788,59.0
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1803.20078342414,91.3
