human_ensembl_gene_id,mouse_accession,mouse_ensembl_gene_id,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep1_M31_prot
ENSG00000003393,Q920R0,ENSMUSG00000026024,2425.22130904649,35.3
ENSG00000003393,Q920R0,ENSMUSG00000026024,2425.22130904649,35.3
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4618.46313908103,301.7
ENSG00000010256,Q9CZ13,ENSMUSG00000025651,4618.46313908103,301.7
ENSG00000021826,Q8C196,ENSMUSG00000025991,91286.9137411155,1523.2
ENSG00000021826,Q8C196,ENSMUSG00000025991,91286.9137411155,1523.2
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1682.02245297432,179.8
ENSG00000023228,Q91VD9,ENSMUSG00000025968,1682.02245297432,179.8
ENSG00000048162,Q9CPT5,ENSMUSG00000025869,409.877278500447,98.9
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,352.910076932206,14.8
ENSG00000055044,Q6DFW4,ENSMUSG00000026020,352.910076932206,14.8
ENSG00000064012,O89110,ENSMUSG00000026029,527.058902895861,30.8
ENSG00000064012,O89110,ENSMUSG00000026029,527.058902895861,30.8
ENSG00000072135,Q61152,ENSMUSG00000026126,64.193337451599,109.0
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,305.419405683448,19.7
ENSG00000074582,Q9CZP5,ENSMUSG00000026172,305.419405683448,19.7
ENSG00000075914,Q9D0M0,ENSMUSG00000025785,331.45633907835,64.4
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,5581.50334337027,384.2
ENSG00000079739,Q9D0F9,ENSMUSG00000025791,5581.50334337027,384.2
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,6996.76033413505,185.1
ENSG00000084754,Q8BMS1,ENSMUSG00000025745,6996.76033413505,185.1
ENSG00000103269,Q8VC82,ENSMUSG00000025735,11.270743914123,306.8
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,889.111205237453,22.6
ENSG00000175866,Q8BKX1,ENSMUSG00000025372,889.111205237453,22.6
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4641.8476655461,131.6
ENSG00000182199,Q9CZN7,ENSMUSG00000025403,4641.8476655461,131.6
ENSG00000182208,Q8VI63,ENSMUSG00000025147,302.983518577115,16.4
ENSG00000185624,P09103,ENSMUSG00000025130,24379.4836999288,171.6
ENSG00000185624,P09103,ENSMUSG00000025130,24379.4836999288,171.6
ENSG00000185664,Q60696,ENSMUSG00000025359,7.97949338880654,
ENSG00000185813,Q922E4,ENSMUSG00000025137,6668.80862269371,115.7
ENSG00000185813,Q922E4,ENSMUSG00000025137,6668.80862269371,115.7
ENSG00000187531,Q8BKJ9,ENSMUSG00000025138,841.065185806067,39.3
ENSG00000189221,Q64133,ENSMUSG00000025037,296.814437985823,52.3
ENSG00000189221,Q64133,ENSMUSG00000025037,296.814437985823,52.3
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,752.024928839337,70.2
ENSG00000196865,Q8BZW8,ENSMUSG00000025078,752.024928839337,70.2
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,13049.0877230669,302.8
ENSG00000197142,Q8JZR0,ENSMUSG00000024981,13049.0877230669,302.8
ENSG00000197728,P62855,ENSMUSG00000025362,2764.32610420817,77.3
ENSG00000197728,P62855,ENSMUSG00000025362,2764.32610420817,77.3
ENSG00000198682,O88428,ENSMUSG00000024899,9540.49838668109,180.1
ENSG00000198682,O88428,ENSMUSG00000024899,9540.49838668109,180.1
ENSG00000198814,Q64516,ENSMUSG00000025059,2304.68216696246,71.2
ENSG00000198814,Q64516,ENSMUSG00000025059,2304.68216696246,71.2
ENSG00000229894,Q64516,ENSMUSG00000025059,2304.68216696246,71.2
ENSG00000229894,Q64516,ENSMUSG00000025059,2304.68216696246,71.2
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1792.68187692711,56.1
ENSG00000211456,Q9EP69,ENSMUSG00000025240,1792.68187692711,56.1
ENSG00000213614,P29416,ENSMUSG00000025232,1034.71048129454,21.1
ENSG00000213614,P29416,ENSMUSG00000025232,1034.71048129454,21.1
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2509.09988520029,62.8
ENSG00000241935,Q9DCU9,ENSMUSG00000025176,2509.09988520029,62.8
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1387.31232165078,79.7
ENSG00000257727,Q9QXT0,ENSMUSG00000025381,1387.31232165078,79.7
ENSG00000115459,Q91YP6,ENSMUSG00000056698,283.281155180912,
ENSG00000115525,O88829,ENSMUSG00000056091,2560.90193519262,7.2
ENSG00000115525,O88829,ENSMUSG00000056091,2560.90193519262,7.2
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,689.407291931784,52.3
ENSG00000116663,Q9QZN4,ENSMUSG00000055401,689.407291931784,52.3
ENSG00000130402,P57780,ENSMUSG00000054808,4445.67694543003,128.3
ENSG00000130402,P57780,ENSMUSG00000054808,4445.67694543003,128.3
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2701.7773076606,37.8
ENSG00000131943,Q8WUR0,ENSMUSG00000054676,2701.7773076606,37.8
ENSG00000133020,P13542,ENSMUSG00000055775,3.7215151397516,
ENSG00000133020,P13542,ENSMUSG00000055775,3.7215151397516,
ENSG00000133818,P62071,ENSMUSG00000055723,346.809207634166,16.5
ENSG00000133818,P62071,ENSMUSG00000055723,346.809207634166,16.5
ENSG00000137845,O35598,ENSMUSG00000054693,804.486347105658,
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O88451,ENSMUSG00000040134,23893.0952862924,114.6
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000139547,O54909,ENSMUSG00000069456,2877.80813186074,26.0
ENSG00000159596,Q3KQJ0,ENSMUSG00000055900,276.06171753932,13.9
ENSG00000163220,P31725,ENSMUSG00000056071,31.6139155543781,83.5
ENSG00000163220,P31725,ENSMUSG00000056071,31.6139155543781,83.5
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,161.46725983874,32.6
ENSG00000135540,Q8CAF4,ENSMUSG00000039835,161.46725983874,32.6
ENSG00000136881,Q91X34,ENSMUSG00000039653,5048.36052393444,77.2
ENSG00000136881,Q91X34,ENSMUSG00000039653,5048.36052393444,77.2
ENSG00000137944,Q71RI9,ENSMUSG00000040213,4395.3186609107,32.2
ENSG00000137944,Q71RI9,ENSMUSG00000040213,4395.3186609107,32.2
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,2067.64999339128,35.9
ENSG00000140990,Q9DCS9,ENSMUSG00000040048,2067.64999339128,35.9
ENSG00000145041,Q80TR8,ENSMUSG00000040325,616.871401474264,
ENSG00000147586,Q9CY16,ENSMUSG00000040269,291.017082390681,83.4
ENSG00000147586,Q9CY16,ENSMUSG00000040269,291.017082390681,83.4
ENSG00000148965,P31532,ENSMUSG00000040017,6003.47358995675,17.6
ENSG00000153187,Q8VEK3,ENSMUSG00000039630,5004.78343358428,131.3
ENSG00000153187,Q8VEK3,ENSMUSG00000039630,5004.78343358428,131.3
ENSG00000153956,O08532,ENSMUSG00000040118,23.9083437774645,
ENSG00000162654,Q61107,ENSMUSG00000028268,794.817179782631,
ENSG00000162654,Q61107,ENSMUSG00000028268,794.817179782631,
ENSG00000162654,Q61107,ENSMUSG00000028268,794.817179782631,
