Sample Name,Protocol REF,Label,MS Assay Name
RR1_GC_NASA+CASIS_LVR_POOL,Extraction,130C,TMT 10-plex
RR1_GC_NASA_LVR_POOL,Extraction,130N,TMT 10-plex
RR1_BA_CASIS_LVR_POOL,Extraction,131,TMT 10-plex
RR1_FLT_NASA+CASIS_LVR_POOL,Extraction,130C,TMT 10-plex
RR1_FLT_NASA_LVR_POOL,Extraction,130N,TMT 10-plex
RR1_BA_CASIS_LVR_POOL,Extraction,131,TMT 10-plex
RR1_BSL_VIV_NASA_LVR_POOL,Extraction,131C,TMT 11-plex
Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Extraction,129N,TMT 11-plex
Mmus_C57-6J_LVR_VIV_C_Rep2_M17,Extraction,129C,TMT 11-plex
Mmus_C57-6J_LVR_VIV_C_Rep3_M18,Extraction,130N,TMT 11-plex
Mmus_C57-6J_LVR_VIV_C_Rep4_M19,Extraction,130C,TMT 11-plex
Mmus_C57-6J_LVR_VIV_C_Rep5_M20,Extraction,131N,TMT 11-plex
Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Extraction,126,TMT 10-plex
Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Extraction,127N,TMT 10-plex
Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Extraction,127C,TMT 10-plex
Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Extraction,128N,TMT 10-plex
Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Extraction,128C,TMT 10-plex
Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Extraction,129N,TMT 10-plex
Mmus_C57-6J_LVR_FLT_C_Rep5_M30,Extraction,129C,TMT 10-plex
Mmus_C57-6J_LVR_GC_I_Rep1_M31,Extraction,126,TMT 10-plex
Mmus_C57-6J_LVR_GC_I_Rep2_M32,Extraction,127N,TMT 10-plex
Mmus_C57-6J_LVR_GC_C_Rep1_M36,Extraction,127C,TMT 10-plex
Mmus_C57-6J_LVR_GC_C_Rep2_M37,Extraction,128N,TMT 10-plex
Mmus_C57-6J_LVR_GC_C_Rep3_M38,Extraction,128C,TMT 10-plex
Mmus_C57-6J_LVR_GC_C_Rep4_M39,Extraction,129N,TMT 10-plex
