ensembl_id,uniprot_id
ENSMUSG00000000001.5,Q9DC51
ENSMUSG00000000028.16,Q9Z1X9
ENSMUSG00000000049.12,Q01339
ENSMUSG00000000093.7,Q60707
ENSMUSG00000000094.13,P70325
ENSMUSG00000000120.7,Q9Z0W1
ENSMUSG00000000126.12,Q8R5M2
ENSMUSG00000000134.18,Q64092
ENSMUSG00000000142.16,O88566
ENSMUSG00000000154.17,"['A0A0R4J0P7', 'D6RGN1', 'D6RDC9']"
ENSMUSG00000000183.7,P21658
ENSMUSG00000000275.17,Q61510
ENSMUSG00000000276.12,Q9R1C6
ENSMUSG00000000278.11,Q920A5
ENSMUSG00000000282.13,O08789
ENSMUSG00000000290.14,"['Q542I8', 'D3YYP8', 'M0QWA7', 'M0QWJ6', 'D3Z1S4']"
ENSMUSG00000000295.14,Q3SXD3
ENSMUSG00000000296.9,O54818
ENSMUSG00000000301.17,Q61907
ENSMUSG00000000303.13,A0A0R4IZW5
ENSMUSG00000000305.13,P39038
ENSMUSG00000000317.12,O88282
ENSMUSG00000000340.11,P53395
ENSMUSG00000000374.9,Q3TLI0
ENSMUSG00000000392.18,P97321
ENSMUSG00000000399.11,Q9DC69
ENSMUSG00000000409.15,P06240
ENSMUSG00000000416.17,B9EJA2
ENSMUSG00000000420.16,O08912
ENSMUSG00000000435.2,P24699
ENSMUSG00000000439.10,Q9ERV1
ENSMUSG00000000440.13,"['Q6GU14', 'A0A0N4SVF8', 'A0A0N4SV67', 'M1VPI1']"
ENSMUSG00000000441.18,Q99N57
ENSMUSG00000000532.12,Q61271
ENSMUSG00000000562.6,"['Q497R5', 'Q3U4C5']"
ENSMUSG00000000563.18,Q9CQQ7
ENSMUSG00000000567.6,Q04887
ENSMUSG00000000568.16,Q60668
ENSMUSG00000000579.15,P51807
ENSMUSG00000000581.9,O35473
ENSMUSG00000000594.8,Q60648
ENSMUSG00000000600.16,Q6S5J6
ENSMUSG00000000605.10,Q61418
ENSMUSG00000000628.11,O08528
ENSMUSG00000000631.21,Q9JMH9
ENSMUSG00000000673.10,Q78JT3
ENSMUSG00000000693.11,Q9Z175
ENSMUSG00000000711.4,P61021
ENSMUSG00000000730.14,Q9CWR8
ENSMUSG00000000738.19,Q3ULF4
ENSMUSG00000000759.15,P58854
ENSMUSG00000000776.14,Q91WD1
ENSMUSG00000000787.13,Q62167
ENSMUSG00000000805.19,Q64444
ENSMUSG00000000827.19,Q9CYZ2
ENSMUSG00000000876.12,Q9JJW0
ENSMUSG00000000902.14,Q9Z0H3
ENSMUSG00000000903.4,"['D3Z6J4', 'Q61243']"
ENSMUSG00000000915.16,Q9JKY5
ENSMUSG00000000916.16,Q8K4F6
ENSMUSG00000000934.10,Q8R4U6
ENSMUSG00000000942.11,A0A0R4J193
ENSMUSG00000000948.17,Q9WU12
ENSMUSG00000000957.12,P53690
ENSMUSG00000000958.11,Q9Z1K8
ENSMUSG00000000982.6,P10855
ENSMUSG00000001018.16,Q9Z266
ENSMUSG00000001029.16,P35330
ENSMUSG00000001054.10,Q91YQ7
ENSMUSG00000001056.4,Q9CRB2
ENSMUSG00000001062.19,Q8C190
ENSMUSG00000001065.16,Q8CE64
ENSMUSG00000001076.8,Q4ZJM9
ENSMUSG00000001082.13,Q9D2V8
ENSMUSG00000001089.15,Q8R4U7
ENSMUSG00000001095.6,Q9ES88
ENSMUSG00000001098.16,Q922M3
ENSMUSG00000001100.11,Q91VA6
ENSMUSG00000001103.8,P70368
ENSMUSG00000001134.10,Q9WTZ0
ENSMUSG00000001156.10,"['Q8K1Z8', 'A0A0N4SW68', 'A0A0N4SVF6']"
ENSMUSG00000001157.14,Q920G9
ENSMUSG00000001158.14,Q8K194
ENSMUSG00000001166.18,Q924S2
ENSMUSG00000001173.16,Q6NVF0
ENSMUSG00000001175.17,"['P0DP28', 'P0DP27', 'P0DP26']"
ENSMUSG00000001211.16,Q9D517
ENSMUSG00000001225.13,Q9WVC8
ENSMUSG00000001227.13,O54951
ENSMUSG00000001228.15,Q8VDF2
ENSMUSG00000001247.17,Q99KG5
ENSMUSG00000001248.16,Q8VEF1
ENSMUSG00000001249.15,O35453
ENSMUSG00000001270.10,Q04447
ENSMUSG00000001280.14,O89090
ENSMUSG00000001289.13,Q9WU28
ENSMUSG00000001300.17,P52800
ENSMUSG00000001313.13,Q9QYM5
ENSMUSG00000001366.15,Q8BK06
ENSMUSG00000001376.18,Q8CI71
ENSMUSG00000001380.8,Q61035
ENSMUSG00000001416.14,P80318
ENSMUSG00000001424.15,Q78PY7
ENSMUSG00000001436.16,P41438
ENSMUSG00000001445.11,Q3TBW2
ENSMUSG00000001467.6,Q8K0C4
ENSMUSG00000001472.18,Q8R3L2
ENSMUSG00000001473.8,Q922F4
ENSMUSG00000001482.16,Q99J78
ENSMUSG00000001493.10,P32442
ENSMUSG00000001497.19,P47242
ENSMUSG00000001506.11,P11087
ENSMUSG00000001507.17,Q62470
ENSMUSG00000001508.16,P82350
