ensembl_id,uniprot_id
ENSMUSG00000014769.11,O09061
ENSMUSG00000014771.14,"['A2T4N6', 'A0A0R4J0N5']"
ENSMUSG00000014773.14,Q61483
ENSMUSG00000014776.8,Q9D1X0
ENSMUSG00000014778.11,Q6P9Q4
ENSMUSG00000014782.17,"['E0CYM2', 'E0CZA7', 'E9Q7C3', 'A0A1L1SU27', 'F8VPS6']"
ENSMUSG00000014786.9,B2RXE2
ENSMUSG00000014791.11,Q8BYZ7
ENSMUSG00000014813.10,O55183
ENSMUSG00000014837.16,Q810A5
ENSMUSG00000014846.13,Q9CRB6
ENSMUSG00000014850.16,"['A0A087WQ16', 'E9QPY6', 'A0A087WP45', 'A0A087WRJ5', 'A0A087WSR8', 'A0A087WP43', 'A0A087WSS2', 'A0A087WQZ2']"
