human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,Description_prot,Coverage [%]_prot,# Peptides_prot,# PSMs_prot,# AAs_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17_prot,RR1_GC_NASA_LVR_POOL_prot,RR1_GC_NASA+CASIS_LVR_POOL_prot,RR1_BA_CASIS_LVR_POOL_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21.1_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17.1_prot,RR1_GC_NASA_LVR_POOL.1_prot,RR1_GC_NASA+CASIS_LVR_POOL.1_prot,RR1_BA_CASIS_LVR_POOL.1_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna
ENSG00000003393,Q96Q42,ALS2,ENSMUSG00000026024,Als2,Alsin OS=Homo sapiens OX=9606 GN=ALS2 PE=1 SV=2,2,3,13,1657,10.5,5.6,12.4,14.1,12.5,10.0,11.3,11.9,12.6,8.2,35.3,26.7,48.7,35.7,41.5,40.9,31.3,35.3,27.2,45.2,2425.22130904649,1881.55703109394,1655.46115159401,1945.42077332206,584.0483574132,1015.68920827596,858.730994162182,1191.11764497171,951.796967409699,918.610193871409,801.334739585851,929.607041750252,1262.95687926322,1088.57144839354
ENSG00000010256,P31930,UQCRC1,ENSMUSG00000025651,Uqcrc1,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",11,6,37,480,71.3,41.1,65.0,70.1,65.8,77.1,74.5,65.0,65.0,70.0,91.3,86.1,129.5,105.3,122.0,109.8,72.7,87.0,81.9,112.6,4618.46313908103,6231.46868463057,4255.88141690675,5596.83893523646,4871.97642584357,3896.69854063051,4192.43836359596,3476.93299227985,4474.62158298401,3861.29183224771,3759.86908381498,4523.09259707625,3281.89459339369,4174.05112745551
ENSG00000021826,P31327,CPS1,ENSMUSG00000025991,Cps1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",27,33,448,1500,1058.1,777.4,1116.6,1386.2,976.3,1100.3,1005.2,832.3,949.3,955.4,1015.7,1028.9,1385.7,1053.4,1272.4,1136.7,675.3,932.7,775.5,1323.0,91286.9137411155,90117.8658925364,80242.1232169065,79417.6706946679,76338.6467126728,37603.9102305401,46252.5653260493,32032.3460917486,52610.2981685845,60011.9551939858,49612.9376892289,61945.5995921398,40305.1191394407,43107.4450883047
ENSG00000023228,P28331,NDUFS1,ENSMUSG00000025968,Ndufs1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3",15,11,33,727,96.2,53.8,80.1,87.9,88.5,75.5,88.5,60.0,72.8,74.3,184.0,172.2,217.4,199.5,207.2,199.9,197.2,164.5,150.7,238.1,1682.02245297432,2298.3527993894,1736.7216213897,1525.62217054642,2456.55436928945,1519.01229489296,1638.68488307944,1570.25693791402,1827.45598184608,1868.26756987648,1830.75140038631,2198.40896519911,1566.10632746636,1646.44847064402
ENSG00000055044,Q9Y2X3,NOP58,ENSMUSG00000026020,Nop58,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,4,2,5,529,26.9,13.9,29.6,38.0,30.4,29.9,29.0,19.5,29.3,27.4,14.8,11.0,29.4,18.9,21.7,24.5,19.2,19.1,14.2,28.7,352.910076932206,305.268681805271,338.561455711222,342.03422993087,429.551754867188,413.208324139369,477.461619486917,424.124865750443,465.729772681731,456.387742095555,730.963231468315,485.026272101493,717.258770361224,431.980640304241
ENSG00000079739,P36871,PGM1,ENSMUSG00000025791,Pgm1,Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3,25,10,50,562,138.5,89.9,136.6,165.4,150.6,147.3,149.6,120.8,140.9,128.8,229.5,232.3,358.1,248.4,306.5,252.2,245.1,236.6,177.1,299.9,5581.50334337027,5707.10287165011,4410.91989370362,4976.3849501578,3177.0994487659,2651.31889923297,2943.50178479149,2726.70926278553,3487.30571935809,2499.30143684593,2066.90402491789,2886.0182443223,2313.994171639,2756.54626148359
ENSG00000084754,P40939,HADHA,ENSMUSG00000025745,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",2,2,9,763,145.6,99.4,138.2,175.3,157.3,158.0,155.2,114.7,168.4,137.4,135.7,116.6,177.1,138.9,177.1,153.0,138.2,142.0,138.3,186.1,6996.76033413505,7499.431676116,6378.6279619595,7368.78602754999,4349.99416000324,4975.6501817808,4553.33638486869,4574.02948601458,4765.37814104917,3823.17739470334,3187.33658855613,3959.16813282067,3766.40450264635,4444.8005021525
ENSG00000175866,Q9UQB8,BAIAP2,ENSMUSG00000025372,Baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1,7,3,7,552,34.4,19.1,37.6,44.9,39.2,41.2,38.2,29.8,29.7,30.0,22.6,22.4,40.9,29.1,30.0,28.2,16.3,22.7,18.0,26.8,889.111205237453,819.238539910624,804.833039488561,1060.03519199376,1259.75265035421,991.15417440301,867.408920513318,950.840230243351,1140.68463968185,1245.03443332421,1600.57171240998,1543.92379466437,1852.81411234546,1594.25751152009
ENSG00000182199,P34897,SHMT2,ENSMUSG00000025403,Shmt2,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",18,9,46,504,32.4,19.4,33.1,35.0,34.1,35.4,35.9,27.2,37.8,23.4,37.6,30.7,40.9,39.8,39.0,33.2,26.4,32.7,25.5,38.4,4641.8476655461,4176.02554972681,3992.25911326124,5251.62832322043,4247.28607445114,4547.45383904658,4155.04334468826,4174.23912009392,5248.85542825924,4510.82310184171,4146.51325689786,4108.34222487474,4810.61510490841,4884.32445090963
ENSG00000185624,P07237,P4HB,ENSMUSG00000025130,P4hb,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,13,6,57,508,358.7,220.9,336.0,339.4,320.6,339.5,337.0,278.7,244.6,266.8,171.6,158.1,211.5,172.7,161.3,139.5,132.6,146.3,99.7,233.4,24379.4836999288,23143.2244530238,17310.2624302947,25183.9874249964,32815.3479636167,30168.1449162377,32862.2327277144,21660.3044670681,29358.9324477432,28127.2471153442,38315.4605116408,33617.9397996889,29127.9295872368,27473.1934257708
ENSG00000185813,Q99447,PCYT2,ENSMUSG00000025137,Pcyt2,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens OX=9606 GN=PCYT2 PE=1 SV=1,14,5,24,389,42.1,23.3,49.5,43.8,44.0,37.6,37.5,35.0,42.5,34.2,75.9,83.9,109.8,77.9,86.0,67.4,62.3,68.9,62.1,96.5,6668.80862269371,6480.94191442858,4901.50925638368,8106.51320800181,16540.349751468,25175.3552830032,18844.4106396192,20975.8743372438,20189.0524798673,15917.207334184,20442.2244708965,13610.2684713594,22303.1010698768,20682.5860117285
ENSG00000197728,P62854,RPS26,ENSMUSG00000025362,Rps26,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,14,2,12,115,132.4,81.9,155.7,162.0,140.7,146.3,131.9,105.8,128.9,117.9,77.3,81.6,119.2,85.2,109.9,90.1,78.0,86.7,81.5,128.6,2764.32610420817,3113.6069180405,2654.90382160203,3350.35717399243,5510.1725199052,3931.16961579072,5428.25091009088,4789.84884638007,4676.36601929041,5279.23651406723,5933.99652373217,5392.48748273167,4382.1007261582,4535.85517058857
ENSG00000198682,O95340,PAPSS2,ENSMUSG00000024899,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Homo sapiens OX=9606 GN=PAPSS2 PE=1 SV=2,21,9,30,614,98.9,52.9,73.5,78.9,61.3,77.0,81.1,56.6,61.7,55.3,115.0,113.1,137.3,132.8,126.5,126.9,93.6,115.0,76.0,128.3,9540.49838668109,7927.29856226825,6822.16455801213,7548.10110752154,4438.81566561458,4191.14993018725,3819.6102595633,3363.31105173513,4468.55052773605,4666.13852484235,2458.75015070328,4066.62161268505,2751.96116715477,5494.34793047745
ENSG00000198814,P32189,GK,ENSMUSG00000025059,Gk,Glycerol kinase OS=Homo sapiens OX=9606 GN=GK PE=1 SV=3,7,3,12,559,10.2,6.0,8.5,9.6,13.7,8.9,10.7,8.6,12.8,11.0,71.2,76.7,106.5,77.0,84.1,75.7,57.0,66.7,60.3,110.1,2304.68216696246,2023.11802411043,1457.17401658877,1931.76462261361,2568.49170732569,2081.50354655045,2343.84566454375,2357.49789586324,2199.13150142215,2241.62496831046,1126.578348946,1894.12073853988,1655.14507987993,2287.57146612669
ENSG00000211456,Q9NTJ5,SACM1L,ENSMUSG00000025240,Sacm1l,Phosphatidylinositol-3-phosphatase SAC1 OS=Homo sapiens OX=9606 GN=SACM1L PE=1 SV=2,7,4,13,587,121.4,67.5,60.0,145.4,76.2,122.4,122.0,94.6,72.4,97.4,45.2,46.9,92.5,61.0,39.8,49.2,39.1,53.6,18.7,60.9,1792.68187692711,1387.30831127307,1488.9319339089,1149.40287442385,1159.69368720701,835.710497413943,1114.33703987968,924.144718595045,990.668958157184,1355.55195193715,1150.61399141745,1254.76191804735,896.000456792817,920.862940712366
ENSG00000213614,P06865,HEXA,ENSMUSG00000025232,Hexa,Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2,5,3,6,529,38.3,24.6,30.0,32.2,28.9,33.0,30.5,26.2,27.6,32.0,24.0,20.2,31.5,24.6,26.0,26.7,22.2,25.3,17.0,38.1,1034.71048129454,963.394987203309,1012.89317092561,949.697265566958,784.543032180369,671.63981446829,810.06219437196,897.092145652132,646.60347676265,741.226427858241,625.103265421493,691.487740234077,616.195265331173,676.589281434051
ENSG00000257727,Q9Y2B0,CNPY2,ENSMUSG00000025381,Cnpy2,Protein canopy homolog 2 OS=Homo sapiens OX=9606 GN=CNPY2 PE=1 SV=1,26,4,23,182,97.7,49.9,70.7,113.3,87.9,106.1,99.2,73.2,98.1,85.0,78.7,66.5,96.0,76.3,73.4,74.9,60.2,64.6,61.9,95.5,1387.31232165078,1375.35206098174,1181.26242859535,1636.11884845895,2283.91010641315,1795.04359643691,2053.70604867694,1803.20078342414,1817.42074988992,2450.38905823056,2115.45908572614,2571.44053815855,1762.7972040489,2099.43882954107
ENSG00000130402,O43707,ACTN4,ENSMUSG00000054808,Actn4,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,22,18,93,911,27.4,20.0,32.0,38.7,28.1,29.9,35.3,24.7,26.1,24.7,87.0,80.9,147.8,87.6,127.1,113.9,81.7,82.6,81.4,125.5,4445.67694543003,3646.2107714846,3959.05875068784,3469.90416374835,2650.22882863775,2552.00651620897,2580.08354166493,2678.51653296904,2860.8123942112,2681.32456601784,3087.51849700463,3064.27345842807,3429.79413590448,2840.34507338151
ENSG00000133818,P62070,RRAS2,ENSMUSG00000055723,Rras2,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,14,2,5,204,42.1,21.3,40.5,64.2,44.9,52.9,46.5,37.8,45.6,40.7,16.5,19.4,35.4,19.3,21.9,27.2,22.9,15.7,15.9,28.4,346.809207634166,336.831757931423,348.033630914644,352.865158834766,235.427371661858,163.112464812467,237.337815606743,227.405079878076,192.376834484077,258.916061931309,244.103596801508,309.124622744785,174.793684614049,223.336182499275
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,Retinol dehydrogenase 16 OS=Homo sapiens OX=9606 GN=RDH16 PE=1 SV=2,4,2,6,317,123.9,36.8,60.1,143.0,70.1,97.8,120.1,77.4,73.8,66.9,65.9,66.9,139.0,85.2,69.7,80.2,49.4,64.4,50.5,83.6,23893.0952862924,22016.8802949919,19203.3541312733,30699.181165826,26215.7947897482,23901.796280203,24401.4073944402,24986.7376879611,23478.9127150339,27327.2849246955,21684.8829617395,27565.5268500722,21018.388659971,24900.5212013687
