human_ensembl_gene_id,human_accession,mouse_ensembl_gene_id,RNA-Seq,STD_rna,Proteomics,STD_prot,outlier,cluster
ENSG00000003393,Q96Q42,ENSMUSG00000026024,1326.0607574939138,692.856360268598,38.13333333333333,7.42042227010476,1,0
ENSG00000010256,P31930,ENSMUSG00000025651,4547.996357676915,963.5138601815183,107.33333333333333,16.879652445079156,1,1
ENSG00000023228,P28331,ENSMUSG00000025968,1860.8139562565982,407.1624644748324,196.69999999999996,16.237980169959567,1,2
ENSG00000048162,Q9Y3C1,ENSMUSG00000025869,395.72587659708523,72.8750211873252,104.93333333333332,28.853191620107935,1,4
ENSG00000055044,Q9Y2X3,ENSMUSG00000026020,400.4208871635656,61.35225881535064,20.05,6.644320883280698,1,4
ENSG00000073417,O60658,ENSMUSG00000025584,757.0614375781835,252.2144533599993,72.38333333333333,6.618584944432356,1,0
ENSG00000075914,Q15024,ENSMUSG00000025785,419.471809802961,76.84878265778212,83.43333333333334,21.0698520798478,1,4
ENSG00000078687,Q9HCJ0,ENSMUSG00000025571,575.4137359843058,119.46949329166269,67.31666666666668,13.416320906517804,1,4
ENSG00000084754,P40939,ENSMUSG00000025745,5491.533703819726,1384.8204225203422,149.73333333333332,24.16879530855162,1,3
ENSG00000088387,Q9BZ29,ENSMUSG00000025558,339.91309531702854,66.22277411140755,208.26666666666665,43.592231723859555,1,4
ENSG00000099250,O14786,ENSMUSG00000025810,803.4656400523955,285.92345513396685,114.13333333333334,23.3368949662689,1,0
ENSG00000175866,Q9UQB8,ENSMUSG00000025372,962.9176201103277,157.64972450742857,28.866666666666664,6.747937956640285,1,0
ENSG00000182199,P34897,ENSMUSG00000025403,4323.649265592135,214.34278873857792,36.86666666666667,4.035674251803118,1,1
ENSG00000182208,Q70IA6,ENSMUSG00000025147,340.300417767756,41.432770819483615,19.7,5.1903757089443925,1,4
ENSG00000189221,P21397,ENSMUSG00000025037,228.14325672210848,50.97517381695573,26.716666666666665,5.7283214528050586,1,4
ENSG00000197728,P62854,ENSMUSG00000025362,4256.22915240259,1171.9883041406083,93.88333333333333,16.81111735330721,1,1
ENSG00000198682,O95340,ENSMUSG00000024899,5546.780642674933,2546.8657204565598,125.26666666666665,9.583040575238465,1,3
ENSG00000198814,P32189,ENSMUSG00000025059,2279.8565008926703,199.6536677964786,81.86666666666666,12.759101326765402,1,2
ENSG00000198924,Q6PJP8,ENSMUSG00000025077,382.8087935013635,155.42629401661532,22.03333333333333,5.1406873729752,1,4
ENSG00000211456,Q9NTJ5,ENSMUSG00000025240,1202.3126885493095,347.5887912752079,55.76666666666666,19.313484063386042,1,0
ENSG00000213614,P06865,ENSMUSG00000025232,860.2404425284334,131.34447378049927,25.5,3.7105255692421797,1,0
ENSG00000257727,Q9Y2B0,ENSMUSG00000025381,1783.0874862639432,359.858681824783,77.63333333333334,9.89538613024609,1,2
ENSG00000130402,O43707,ENSMUSG00000054808,3092.1205227325536,782.2240769587407,107.38333333333334,26.731810014787005,1,2
ENSG00000133818,P62070,ENSMUSG00000055723,257.82061625412217,70.67881045012322,23.28333333333333,6.943030078191125,1,4
ENSG00000139547,O75452,ENSMUSG00000054052,0.9817556371494961,1.272910152639291,84.48333333333333,27.799238598685875,1,4
ENSG00000139547,O75452,ENSMUSG00000056148,2824.5403813784583,781.691916909262,84.48333333333333,27.799238598685875,1,2
ENSG00000139547,O75452,ENSMUSG00000069456,3092.3981280730695,780.9446923346267,84.48333333333333,27.799238598685875,1,2
ENSG00000139547,O75452,ENSMUSG00000074639,7729.172805306401,919.2916589151554,84.48333333333333,27.799238598685875,1,3
ENSG00000139547,O75452,ENSMUSG00000089789,15.760041133952214,5.039147743756143,84.48333333333333,27.799238598685875,1,4
ENSG00000198028,Q96MR9,ENSMUSG00000055150,25.5179292773088,8.416649356802237,129.5,15.538854526637412,1,4
ENSG00000136881,Q14032,ENSMUSG00000039653,5049.944126664988,719.4213124856916,97.81666666666666,26.020562381829237,1,1
ENSG00000137449,Q7Z5Q1,ENSMUSG00000039782,785.0667232822301,268.9447237045787,11.216666666666667,3.4982376515420825,1,0
ENSG00000137801,P07996,ENSMUSG00000040152,62.0177854591727,69.39338315048958,34.300000000000004,6.070255348830064,1,4
ENSG00000146054,Q9C029,ENSMUSG00000040350,313.98060876096804,62.221995650804026,112.93333333333332,21.63059561516203,1,4
ENSG00000147586,Q9Y2Q9,ENSMUSG00000040269,417.9491867237278,90.48858522398618,82.41666666666667,9.07334925298628,1,4
ENSG00000153187,Q00839,ENSMUSG00000039630,4979.11753164558,735.108836288949,141.75,27.490271006303306,1,1
ENSG00000153956,P54289,ENSMUSG00000040118,132.7641217926464,258.7496132562635,89.76666666666667,24.773668817247607,1,4
ENSG00000166986,P56192,ENSMUSG00000040354,828.2555085705661,218.94287730065108,80.68333333333334,10.354596402886337,1,0
ENSG00000112335,O60493,ENSMUSG00000019804,1427.8994894758264,242.80635360502393,184.91666666666666,18.756270062746125,1,0
ENSG00000112339,Q9Y450,ENSMUSG00000019977,1419.9967407918418,168.95644186530023,73.78333333333333,31.73744896280523,1,0
ENSG00000112769,Q16363,ENSMUSG00000019846,95.3345361765438,35.1918493362832,32.98333333333333,9.63938103130417,1,4
ENSG00000113643,P54136,ENSMUSG00000018848,569.7826661498548,86.21585673101384,26.8,5.617116698093428,1,4
ENSG00000115266,O95996,ENSMUSG00000020135,6.063151627577372,3.3942481772420905,117.53333333333332,26.421254070665665,1,4
ENSG00000120265,P22061,ENSMUSG00000019795,825.3485606376631,56.55020964552309,39.38333333333333,6.29362110923963,1,0
ENSG00000120860,Q9Y3C0,ENSMUSG00000020056,425.9839868571453,113.15141326999561,18.900000000000002,6.006995921423619,1,4
ENSG00000122958,O75436,ENSMUSG00000020078,845.8565064049185,116.41281072037268,40.43333333333333,10.32718096416765,1,0
ENSG00000130347,Q8WWV3,ENSMUSG00000019864,337.81214495742233,54.30813367750444,46.38333333333333,8.07797416848226,1,4
ENSG00000130349,Q9P0P8,ENSMUSG00000019797,465.5253661369832,104.57566962393372,79.0,10.998545358364442,1,4
ENSG00000131100,P36543,ENSMUSG00000019210,1609.0291546303617,290.7527697921926,28.383333333333336,8.098250839944802,1,0
ENSG00000135597,Q96D71,ENSMUSG00000019854,447.9055295658897,119.58665504506132,62.199999999999996,4.643705417013446,1,4
ENSG00000137486,P49407,ENSMUSG00000018909,305.06489206231635,130.7601232348455,11.183333333333335,2.5134969000710274,1,4
