human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,mouse_accession,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_prot,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_prot,Abundances (Grouped): BA Pool Ftl 130N_prot,Abundances (Grouped): Ftl Pool 130C_prot,Abundances (Grouped): Pool Ftl 131_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_prot,Mmus_C57-6J_LVR_GC_I_Rep2_M32_prot,Mmus_C57-6J_LVR_GC_C_Rep1_M36_prot,Mmus_C57-6J_LVR_GC_C_Rep2_M37_prot,Mmus_C57-6J_LVR_GC_C_Rep3_M38_prot,Mmus_C57-6J_LVR_GC_C_Rep4_M39_prot,Abundances (Grouped): NASA GC 129C_prot,Abundances (Grouped): BA Pool GC 130N_prot,Abundances (Grouped): GC Pool 130C_prot,Abundances (Grouped): Pool GC 131_prot,Description_prot,Coverage [%]_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna
ENSG00000003393,Q96Q42,ALS2,ENSMUSG00000026024,Als2,Q920R0,21.4,16.3,21.4,32.9,25.9,20.4,20.7,21.3,21.0,19.4,35.3,26.7,48.7,35.7,41.5,40.9,31.3,35.3,27.2,45.2,Alsin OS=Mus musculus OX=10090 GN=Als2 PE=1 SV=3,4,2425.22130904649,1881.55703109394,1655.46115159401,1945.42077332206,584.0483574132,1015.68920827596,858.730994162182,1191.11764497171,951.796967409699,918.610193871409,801.334739585851,929.607041750252,1262.95687926322,1088.57144839354
ENSG00000003393,Q96Q42,ALS2,ENSMUSG00000026024,Als2,Q920R0,21.4,16.3,21.4,32.9,25.9,20.4,20.7,21.3,21.0,19.4,35.3,26.7,48.7,35.7,41.5,40.9,31.3,35.3,27.2,45.2,Alsin OS=Mus musculus OX=10090 GN=Als2 PE=1 SV=3,4,2425.22130904649,1881.55703109394,1655.46115159401,1945.42077332206,584.0483574132,1015.68920827596,858.730994162182,1191.11764497171,951.796967409699,918.610193871409,801.334739585851,929.607041750252,1262.95687926322,1088.57144839354
ENSG00000010256,P31930,UQCRC1,ENSMUSG00000025651,Uqcrc1,Q9CZ13,251.3,173.1,193.9,316.9,216.1,274.2,252.8,205.8,235.2,235.0,301.7,283.5,390.8,333.6,337.7,329.9,243.0,283.6,245.5,373.7,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2",34,4618.46313908103,6231.46868463057,4255.88141690675,5596.83893523646,4871.97642584357,3896.69854063051,4192.43836359596,3476.93299227985,4474.62158298401,3861.29183224771,3759.86908381498,4523.09259707625,3281.89459339369,4174.05112745551
ENSG00000010256,P31930,UQCRC1,ENSMUSG00000025651,Uqcrc1,Q9CZ13,251.3,173.1,193.9,316.9,216.1,274.2,252.8,205.8,235.2,235.0,301.7,283.5,390.8,333.6,337.7,329.9,243.0,283.6,245.5,373.7,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc1 PE=1 SV=2",34,4618.46313908103,6231.46868463057,4255.88141690675,5596.83893523646,4871.97642584357,3896.69854063051,4192.43836359596,3476.93299227985,4474.62158298401,3861.29183224771,3759.86908381498,4523.09259707625,3281.89459339369,4174.05112745551
ENSG00000021826,P31327,CPS1,ENSMUSG00000025991,Cps1,Q8C196,1953.3,1233.1,1847.3,2242.1,1655.0,1878.9,1621.7,1407.7,1575.8,1673.8,1523.2,1474.6,2121.7,1702.8,1918.7,1654.5,1089.3,1422.0,1215.7,1970.9,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus OX=10090 GN=Cps1 PE=1 SV=2",38,91286.9137411155,90117.8658925364,80242.1232169065,79417.6706946679,76338.6467126728,37603.9102305401,46252.5653260493,32032.3460917486,52610.2981685845,60011.9551939858,49612.9376892289,61945.5995921398,40305.1191394407,43107.4450883047
ENSG00000021826,P31327,CPS1,ENSMUSG00000025991,Cps1,Q8C196,1953.3,1233.1,1847.3,2242.1,1655.0,1878.9,1621.7,1407.7,1575.8,1673.8,1523.2,1474.6,2121.7,1702.8,1918.7,1654.5,1089.3,1422.0,1215.7,1970.9,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus OX=10090 GN=Cps1 PE=1 SV=2",38,91286.9137411155,90117.8658925364,80242.1232169065,79417.6706946679,76338.6467126728,37603.9102305401,46252.5653260493,32032.3460917486,52610.2981685845,60011.9551939858,49612.9376892289,61945.5995921398,40305.1191394407,43107.4450883047
ENSG00000023228,P28331,NDUFS1,ENSMUSG00000025968,Ndufs1,Q91VD9,80.4,47.9,76.0,85.7,72.4,72.5,78.0,57.4,63.7,68.3,179.8,168.7,224.3,199.0,218.5,195.4,208.2,174.5,157.8,245.4,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2",22,1682.02245297432,2298.3527993894,1736.7216213897,1525.62217054642,2456.55436928945,1519.01229489296,1638.68488307944,1570.25693791402,1827.45598184608,1868.26756987648,1830.75140038631,2198.40896519911,1566.10632746636,1646.44847064402
ENSG00000023228,P28331,NDUFS1,ENSMUSG00000025968,Ndufs1,Q91VD9,80.4,47.9,76.0,85.7,72.4,72.5,78.0,57.4,63.7,68.3,179.8,168.7,224.3,199.0,218.5,195.4,208.2,174.5,157.8,245.4,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs1 PE=1 SV=2",22,1682.02245297432,2298.3527993894,1736.7216213897,1525.62217054642,2456.55436928945,1519.01229489296,1638.68488307944,1570.25693791402,1827.45598184608,1868.26756987648,1830.75140038631,2198.40896519911,1566.10632746636,1646.44847064402
ENSG00000048162,Q9Y3C1,NOP16,ENSMUSG00000025869,Nop16,Q9CPT5,61.5,31.9,72.8,58.5,57.7,55.4,63.5,41.2,63.2,52.9,98.9,60.0,148.1,96.6,108.3,117.7,133.5,90.8,83.5,121.0,Nucleolar protein 16 OS=Mus musculus OX=10090 GN=Nop16 PE=1 SV=1,4,409.877278500447,493.985664758878,390.548628492344,500.148911702897,420.310464313567,271.200541706388,373.523838561311,405.45747174192,432.677493948898,329.720331152051,323.710741675854,395.125695877454,286.714609388014,371.067172411003
ENSG00000055044,Q9Y2X3,NOP58,ENSMUSG00000026020,Nop58,Q6DFW4,26.9,13.9,29.6,38.0,30.4,29.9,29.0,19.5,29.3,27.4,14.8,11.0,29.4,18.9,21.7,24.5,19.2,19.1,14.2,28.7,Nucleolar protein 58 OS=Mus musculus OX=10090 GN=Nop58 PE=1 SV=1,7,352.910076932206,305.268681805271,338.561455711222,342.03422993087,429.551754867188,413.208324139369,477.461619486917,424.124865750443,465.729772681731,456.387742095555,730.963231468315,485.026272101493,717.258770361224,431.980640304241
