Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_VIV_C_Rep1_M16,Mmus_C57-6J_LVR_VIV_C_Rep2_M17,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,RR1_BA_CASIS_LVR_POOL
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3",2,1,1,501,218.8,129.9,183.9,234.2,198.5,213.3,226.4,198.7,209.2,213.4,,,,,,,,,,
Q96GX9,Methylthioribulose-1-phosphate dehydratase OS=Homo sapiens OX=9606 GN=APIP PE=1 SV=1,7,1,1,242,27.7,12.9,27.4,24.7,28.7,28.2,25.2,22.3,28.6,19.0,,,,,,,,,,
Q13423,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",4,4,5,1086,55.4,20.6,41.4,46.3,56.2,63.1,72.7,149.7,264.7,166.0,35.4,43.1,67.2,47.2,55.3,55.1,49.4,181.2,250.0,268.5
Q5NUL3,Free fatty acid receptor 4 OS=Homo sapiens OX=9606 GN=FFAR4 PE=1 SV=3,2,1,1,361,10.0,5.6,7.9,16.1,10.3,11.3,12.3,6.9,11.1,13.5,,,,,,,,,,
Q9UIJ7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4",15,3,21,227,44.7,45.3,48.3,52.5,46.1,51.6,49.1,49.3,46.0,61.3,105.2,99.6,106.7,117.0,118.1,115.4,71.4,89.0,74.8,110.9
Q6F5E8,"Capping protein, Arp2/3 and myosin-I linker protein 2 OS=Homo sapiens OX=9606 GN=CARMIL2 PE=1 SV=2",1,1,4,1435,45.2,24.9,40.0,48.2,35.0,47.2,47.1,35.9,40.0,40.8,109.2,117.4,148.0,118.8,123.8,119.5,112.1,109.7,80.4,140.9
Q13185,Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,13,2,7,183,12.3,6.4,9.5,10.7,6.9,9.7,13.3,7.6,15.2,11.0,11.4,7.7,17.1,12.8,14.2,13.8,8.3,9.8,8.4,14.8
P0DW81,Poly-ADP-ribosylation-amplifying and CtIP-maintaining micropeptide OS=Homo sapiens OX=9606 GN=MARCHF6-DT PE=1 SV=1,16,1,16,44,40.4,26.0,29.8,43.2,36.1,41.4,36.4,32.7,29.3,39.6,21.0,19.3,27.8,25.4,23.5,25.3,22.4,24.2,19.9,31.6
P57105,Synaptojanin-2-binding protein OS=Homo sapiens OX=9606 GN=SYNJ2BP PE=1 SV=2,18,2,9,145,69.1,42.4,37.8,117.5,51.8,75.8,72.7,55.5,46.9,59.8,40.6,45.5,70.0,62.7,47.7,62.0,38.1,46.5,28.4,53.0
P45974,Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,14,11,30,858,50.3,30.8,53.9,53.4,45.5,51.2,54.2,39.9,53.2,42.4,52.8,47.0,79.0,58.9,64.5,58.3,58.1,54.9,45.7,67.0
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,24,8,58,364,80.4,57.6,83.1,93.0,101.1,87.2,113.6,115.1,85.8,122.3,89.4,70.6,150.3,98.0,121.9,126.1,411.3,161.4,90.7,191.3
O43617,Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1,4,1,2,180,95.8,59.7,102.0,97.7,93.1,110.7,96.2,78.9,78.8,80.9,49.5,42.7,55.8,54.6,55.8,59.4,44.8,46.3,38.4,55.9
Q71RC2,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,1,1,3,724,82.4,48.2,121.6,199.6,127.1,125.9,137.7,112.6,135.0,136.3,154.0,112.5,223.9,198.8,216.5,229.2,126.3,172.1,145.5,260.3
Q86SQ0,Pleckstrin homology-like domain family B member 2 OS=Homo sapiens OX=9606 GN=PHLDB2 PE=1 SV=2,1,1,1,1253,,,,,,,,,,,26.3,17.5,31.0,27.2,25.7,30.1,23.8,21.1,20.9,26.2
P31751,RAC-beta serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=AKT2 PE=1 SV=2,3,1,1,481,,,,,,,,,,,34.2,35.1,64.3,45.9,51.9,48.6,49.3,44.9,36.1,51.7
Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2,2,2,3,1859,32.0,19.8,43.1,48.2,33.1,42.9,32.3,24.4,25.8,24.8,,,,,,,,,,
P04632,Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1,13,2,5,268,49.1,36.2,52.2,56.1,57.7,54.2,63.9,48.1,46.9,50.7,71.4,63.9,105.5,76.0,86.6,88.6,70.9,76.7,62.0,87.6
O14686,Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2,0,2,3,5537,,,,,,,,,,,227.8,212.2,387.0,263.6,286.7,245.4,186.4,238.5,149.5,264.7
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,26,5,29,245,23.5,19.6,31.6,38.4,30.1,30.9,27.7,23.7,32.5,23.2,27.3,24.5,41.0,26.4,34.2,34.3,23.8,28.2,26.2,35.8
Q16363,Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4,0,1,1,1823,,,,,,,,,,,47.8,28.8,42.3,24.1,26.9,28.0,29.2,33.8,20.0,50.1
Q53T59,HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1,3,1,1,392,15.2,11.9,18.3,21.8,17.5,17.3,20.0,13.1,23.8,13.6,,,,,,,,,,
Q15080,Neutrophil cytosol factor 4 OS=Homo sapiens OX=9606 GN=NCF4 PE=1 SV=2,2,1,1,339,,,,,,,,,,,207.5,172.8,265.8,215.6,256.2,244.9,179.5,198.5,170.1,257.8
P13929,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,9,3,78,434,595.7,336.9,609.5,664.0,570.0,627.2,625.4,498.2,532.7,510.4,187.9,184.3,232.6,227.9,181.1,199.8,632.3,225.1,120.8,259.9
Q9P0P8,Mitochondrial transcription rescue factor 1 OS=Homo sapiens OX=9606 GN=MTRES1 PE=1 SV=1,3,1,9,240,46.3,28.5,32.6,59.1,36.8,53.1,41.3,38.6,32.9,37.2,88.8,65.5,92.4,68.3,75.5,83.5,51.8,71.5,52.6,91.6
Q8N5A5,Zinc finger CCCH-type with G patch domain-containing protein OS=Homo sapiens OX=9606 GN=ZGPAT PE=1 SV=3,2,1,1,531,28.9,18.4,33.5,35.1,35.4,29.9,35.6,28.4,29.6,29.5,,,,,,,,,,
Q14C86,GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2,2,3,5,1478,32.0,18.6,32.4,34.8,24.5,30.4,32.5,23.3,30.2,29.3,,,,,,,,,,
Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens OX=9606 GN=ARFGEF2 PE=1 SV=3,4,6,12,1785,40.7,35.2,52.5,69.6,60.5,62.8,52.2,37.5,40.3,43.2,,,,,,,,,,
P26641,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,20,6,17,437,52.0,32.3,61.6,65.3,54.6,51.4,55.3,45.5,44.6,43.9,30.5,34.0,47.1,33.0,39.3,39.1,35.6,33.8,29.5,46.2
Q4G0F5,Vacuolar protein sorting-associated protein 26B OS=Homo sapiens OX=9606 GN=VPS26B PE=1 SV=2,7,2,2,336,,,,,,,,,,,34.2,27.7,49.8,33.7,39.6,43.7,27.8,30.2,24.6,39.4
Q8NG66,Serine/threonine-protein kinase Nek11 OS=Homo sapiens OX=9606 GN=NEK11 PE=1 SV=2,1,1,4,645,,,,,,,,,,,39.9,31.7,64.0,36.1,38.2,55.3,62.1,45.6,33.2,56.8
Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A OS=Homo sapiens OX=9606 GN=PDE3A PE=1 SV=3",1,1,6,1141,187.2,111.3,175.3,206.2,186.5,334.2,171.0,172.8,180.3,322.2,474.6,493.1,808.5,597.6,583.3,541.2,501.6,542.3,369.4,714.0
Q08AM6,Protein VAC14 homolog OS=Homo sapiens OX=9606 GN=VAC14 PE=1 SV=1,1,1,2,782,43.6,29.0,52.6,54.9,49.7,50.5,52.5,41.3,40.5,37.8,28.6,21.5,36.8,28.7,31.9,32.3,32.7,25.4,16.1,44.7
Q13228,Methanethiol oxidase OS=Homo sapiens OX=9606 GN=SELENBP1 PE=1 SV=2,15,7,42,472,228.1,139.2,150.1,173.9,150.6,172.0,162.6,160.0,147.2,165.1,246.6,250.8,276.4,232.6,205.5,196.1,212.4,235.1,156.1,354.1
Q86XN8,RNA-binding protein MEX3D OS=Homo sapiens OX=9606 GN=MEX3D PE=1 SV=3,1,1,3,651,120.3,72.9,116.8,124.7,109.7,115.7,99.4,87.3,84.5,94.9,80.6,76.7,97.2,90.8,87.3,86.9,68.2,72.5,60.2,100.9
Q9Y259,Choline/ethanolamine kinase OS=Homo sapiens OX=9606 GN=CHKB PE=1 SV=3,2,1,2,395,,,,,,,,,,,132.4,115.3,176.9,132.8,185.2,235.4,112.1,143.8,135.8,188.1
Q92805,Golgin subfamily A member 1 OS=Homo sapiens OX=9606 GN=GOLGA1 PE=1 SV=3,1,1,1,767,10.4,10.0,23.1,17.5,12.8,19.2,15.3,14.3,14.8,15.0,,,,,,,,,,
Q99729,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,4,1,2,332,7.9,5.0,9.2,13.7,9.1,12.2,11.2,8.2,11.1,12.5,,,,,,,,,,
Q00872,"Myosin-binding protein C, slow-type OS=Homo sapiens OX=9606 GN=MYBPC1 PE=1 SV=2",4,5,9,1141,,,,,,,,,,,15.9,22.1,27.8,18.6,63.6,24.4,563.9,82.8,55.0,110.3
P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2,9,6,15,705,130.7,80.5,71.9,201.0,57.5,135.4,126.5,97.6,61.7,87.2,69.1,71.3,118.5,94.9,59.6,71.5,49.6,59.6,33.3,85.0
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,8,2,6,381,38.7,25.3,46.6,57.8,44.3,51.5,43.2,34.3,43.9,39.1,62.1,39.3,72.7,51.0,61.9,62.6,50.3,47.6,49.2,72.6
Q9Y4G6,Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4,6,14,33,2542,79.0,54.6,73.5,102.9,85.6,86.6,77.9,63.3,67.2,69.2,13.7,10.6,13.5,14.3,18.5,17.3,34.7,13.2,14.6,17.7
Q6ZSS3,Zinc finger protein 621 OS=Homo sapiens OX=9606 GN=ZNF621 PE=2 SV=1,2,1,1,439,,,,,,,,,,,32.2,32.3,65.3,41.3,44.3,47.8,36.5,43.1,33.1,48.5
Q9BRT3,Migration and invasion enhancer 1 OS=Homo sapiens OX=9606 GN=MIEN1 PE=1 SV=1,10,1,2,115,,,,,,,,,,,20.6,17.2,26.5,14.7,23.1,18.0,10.7,15.2,7.8,16.8
Q9UBS4,DnaJ homolog subfamily B member 11 OS=Homo sapiens OX=9606 GN=DNAJB11 PE=1 SV=1,9,2,12,358,15.7,20.0,28.8,31.8,21.6,21.4,21.9,19.9,20.8,17.7,80.7,57.0,128.1,76.8,96.1,89.0,50.5,69.4,58.5,84.0
P61026,Ras-related protein Rab-10 OS=Homo sapiens OX=9606 GN=RAB10 PE=1 SV=1,11,2,7,200,31.7,22.6,26.2,32.0,17.2,24.2,24.8,29.2,17.5,27.3,47.1,42.8,67.7,58.5,48.1,53.9,59.4,43.5,34.9,60.7
O43593,Lysine-specific demethylase hairless OS=Homo sapiens OX=9606 GN=HR PE=1 SV=5,1,1,2,1189,55.4,30.0,466.6,545.0,214.8,184.8,265.5,59.7,271.7,56.3,31.4,31.1,198.0,113.3,251.4,199.2,140.8,46.7,148.4,51.5
P62633,CCHC-type zinc finger nucleic acid binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1,14,2,8,177,88.6,61.2,121.4,102.8,111.4,96.7,113.3,66.5,85.1,78.7,104.7,96.5,181.3,114.6,155.7,148.9,105.9,82.3,105.5,133.1
Q96NU0,Contactin-associated protein-like 3B OS=Homo sapiens OX=9606 GN=CNTNAP3B PE=2 SV=3,1,1,33,1288,96.8,62.4,85.3,136.9,82.1,102.3,105.5,88.1,80.7,93.6,106.8,105.3,146.1,138.2,132.0,138.5,97.7,127.8,90.9,168.3
Q5SZK8,FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=3,0,1,4,3169,25.4,10.1,106.5,117.6,71.6,68.1,92.9,48.6,104.7,77.4,40.6,35.1,92.1,56.0,105.7,84.6,61.6,65.0,73.6,103.1
Q9UHL4,Dipeptidyl peptidase 2 OS=Homo sapiens OX=9606 GN=DPP7 PE=1 SV=3,1,1,10,492,,,,,,,,,,,164.9,128.1,226.1,174.0,171.6,186.0,134.2,154.6,123.4,190.7
O60645,Exocyst complex component 3 OS=Homo sapiens OX=9606 GN=EXOC3 PE=1 SV=3,5,3,6,745,28.0,20.7,32.6,37.7,27.3,32.5,36.2,24.5,25.6,31.3,33.5,30.4,33.1,34.0,36.3,29.5,27.0,23.5,24.7,42.1
Q86U28,"Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=ISCA2 PE=1 SV=2",16,2,3,154,,,,,,,,,,,10.2,12.5,17.0,12.4,19.7,18.1,10.5,14.3,9.8,15.9
Q16690,Dual specificity protein phosphatase 5 OS=Homo sapiens OX=9606 GN=DUSP5 PE=1 SV=2,2,1,12,384,29.3,19.7,24.3,62.1,28.5,51.9,57.9,42.4,32.1,46.0,45.0,36.8,53.3,43.1,50.1,52.2,35.3,44.5,31.8,64.1
O96009,Napsin-A OS=Homo sapiens OX=9606 GN=NAPSA PE=1 SV=1,4,2,7,420,67.1,32.4,48.3,42.6,62.4,63.5,54.6,51.9,38.9,59.8,74.9,76.7,117.2,81.4,83.3,76.9,63.2,71.7,44.7,97.7
Q5VU92,DDB1- and CUL4-associated factor 12-like protein 1 OS=Homo sapiens OX=9606 GN=DCAF12L1 PE=1 SV=1,2,1,4,463,24.9,14.7,12.0,24.0,22.5,25.6,21.1,13.9,9.4,17.4,72.4,73.0,85.9,114.4,94.5,98.6,70.4,113.6,59.2,119.4
