Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
Q13423,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",4,4,5,1086,55.4,20.6,41.4,46.3,56.2,63.1,72.7,149.7,264.7,166.0,35.4,43.1,67.2,47.2,55.3,55.1,49.4,181.2,250.0,268.5
Q9UIJ7,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4",15,3,21,227,44.7,45.3,48.3,52.5,46.1,51.6,49.1,49.3,46.0,61.3,105.2,99.6,106.7,117.0,118.1,115.4,71.4,89.0,74.8,110.9
Q13185,Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,13,2,7,183,12.3,6.4,9.5,10.7,6.9,9.7,13.3,7.6,15.2,11.0,11.4,7.7,17.1,12.8,14.2,13.8,8.3,9.8,8.4,14.8
P57105,Synaptojanin-2-binding protein OS=Homo sapiens OX=9606 GN=SYNJ2BP PE=1 SV=2,18,2,9,145,69.1,42.4,37.8,117.5,51.8,75.8,72.7,55.5,46.9,59.8,40.6,45.5,70.0,62.7,47.7,62.0,38.1,46.5,28.4,53.0
P45974,Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens OX=9606 GN=USP5 PE=1 SV=2,14,11,30,858,50.3,30.8,53.9,53.4,45.5,51.2,54.2,39.9,53.2,42.4,52.8,47.0,79.0,58.9,64.5,58.3,58.1,54.9,45.7,67.0
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,24,8,58,364,80.4,57.6,83.1,93.0,101.1,87.2,113.6,115.1,85.8,122.3,89.4,70.6,150.3,98.0,121.9,126.1,411.3,161.4,90.7,191.3
Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=GBF1 PE=1 SV=2,2,2,3,1859,32.0,19.8,43.1,48.2,33.1,42.9,32.3,24.4,25.8,24.8,,,,,,,,,,
P04632,Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1,13,2,5,268,49.1,36.2,52.2,56.1,57.7,54.2,63.9,48.1,46.9,50.7,71.4,63.9,105.5,76.0,86.6,88.6,70.9,76.7,62.0,87.6
O14686,Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2,0,2,3,5537,,,,,,,,,,,227.8,212.2,387.0,263.6,286.7,245.4,186.4,238.5,149.5,264.7
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,26,5,29,245,23.5,19.6,31.6,38.4,30.1,30.9,27.7,23.7,32.5,23.2,27.3,24.5,41.0,26.4,34.2,34.3,23.8,28.2,26.2,35.8
