human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,Description_prot,Coverage [%]_prot,# Peptides_prot,# PSMs_prot,# AAs_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_prot,Mmus8_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17_prot,RR1_GC_NASA_LVR_POOL_prot,RR1_GC_NASA+CASIS_LVR_POOL_prot,RR1_BA_CASIS_LVR_POOL_prot,Mmus_C57-6J_LVR_FLT_I_Rep1_M21.1_prot,Mmus_C57-6J_LVR_FLT_I_Rep2_M22.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_prot,Mmus_C57-6J_LVR_FLT_C_Rep2_M26.1_prot,Mmus_C57-6J_LVR_FLT_C_Rep3_M27.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep1_M16.1_prot,Mmus_C57-6J_LVR_VIV_C_Rep2_M17.1_prot,RR1_GC_NASA_LVR_POOL.1_prot,RR1_GC_NASA+CASIS_LVR_POOL.1_prot,RR1_BA_CASIS_LVR_POOL.1_prot,Mmus_C57-6J_LVR_GC_I_Rep1_M31_rna,Mmus_C57-6J_LVR_GC_I_Rep2_M32_rna,Mmus_C57-6J_LVR_FLT_I_Rep1_M21_rna,Mmus_C57-6J_LVR_FLT_I_Rep2_M22_rna,Mmus_C57-6J_LVR_GC_C_Rep1_M36_rna,Mmus_C57-6J_LVR_GC_C_Rep2_M37_rna,Mmus_C57-6J_LVR_GC_C_Rep3_M38_rna,Mmus_C57-6J_LVR_GC_C_Rep4_M39_rna,Mmus_C57-6J_LVR_GC_C_Rep5_M40_rna,Mmus_C57-6J_LVR_FLT_C_Rep1_M25_rna,Mmus_C57-6J_LVR_FLT_C_Rep2_M26_rna,Mmus_C57-6J_LVR_FLT_C_Rep3_M27_rna,Mmus_C57-6J_LVR_FLT_C_Rep4_M28_rna,Mmus_C57-6J_LVR_FLT_C_Rep5_M30_rna
ENSG00000003393,Q96Q42,ALS2,ENSMUSG00000026024,Als2,Alsin OS=Homo sapiens OX=9606 GN=ALS2 PE=1 SV=2,2,3,13,1657,10.5,5.6,12.4,14.1,12.5,10.0,11.3,11.9,12.6,8.2,35.3,26.7,48.7,35.7,41.5,40.9,31.3,35.3,27.2,45.2,2425.22130904649,1881.55703109394,1655.46115159401,1945.42077332206,584.0483574132,1015.68920827596,858.730994162182,1191.11764497171,951.796967409699,918.610193871409,801.334739585851,929.607041750252,1262.95687926322,1088.57144839354
ENSG00000010256,P31930,UQCRC1,ENSMUSG00000025651,Uqcrc1,"Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC1 PE=1 SV=3",11,6,37,480,71.3,41.1,65.0,70.1,65.8,77.1,74.5,65.0,65.0,70.0,91.3,86.1,129.5,105.3,122.0,109.8,72.7,87.0,81.9,112.6,4618.46313908103,6231.46868463057,4255.88141690675,5596.83893523646,4871.97642584357,3896.69854063051,4192.43836359596,3476.93299227985,4474.62158298401,3861.29183224771,3759.86908381498,4523.09259707625,3281.89459339369,4174.05112745551
ENSG00000021826,P31327,CPS1,ENSMUSG00000025991,Cps1,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",27,33,448,1500,1058.1,777.4,1116.6,1386.2,976.3,1100.3,1005.2,832.3,949.3,955.4,1015.7,1028.9,1385.7,1053.4,1272.4,1136.7,675.3,932.7,775.5,1323.0,91286.9137411155,90117.8658925364,80242.1232169065,79417.6706946679,76338.6467126728,37603.9102305401,46252.5653260493,32032.3460917486,52610.2981685845,60011.9551939858,49612.9376892289,61945.5995921398,40305.1191394407,43107.4450883047
ENSG00000023228,P28331,NDUFS1,ENSMUSG00000025968,Ndufs1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3",15,11,33,727,96.2,53.8,80.1,87.9,88.5,75.5,88.5,60.0,72.8,74.3,184.0,172.2,217.4,199.5,207.2,199.9,197.2,164.5,150.7,238.1,1682.02245297432,2298.3527993894,1736.7216213897,1525.62217054642,2456.55436928945,1519.01229489296,1638.68488307944,1570.25693791402,1827.45598184608,1868.26756987648,1830.75140038631,2198.40896519911,1566.10632746636,1646.44847064402
ENSG00000048162,Q9Y3C1,NOP16,ENSMUSG00000025869,Nop16,Nucleolar protein 16 OS=Homo sapiens OX=9606 GN=NOP16 PE=1 SV=2,4,1,3,178,61.5,31.9,72.8,58.5,57.7,55.4,63.5,41.2,63.2,52.9,98.9,60.0,148.1,96.6,108.3,117.7,133.5,90.8,83.5,121.0,409.877278500447,493.985664758878,390.548628492344,500.148911702897,420.310464313567,271.200541706388,373.523838561311,405.45747174192,432.677493948898,329.720331152051,323.710741675854,395.125695877454,286.714609388014,371.067172411003
ENSG00000055044,Q9Y2X3,NOP58,ENSMUSG00000026020,Nop58,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,4,2,5,529,26.9,13.9,29.6,38.0,30.4,29.9,29.0,19.5,29.3,27.4,14.8,11.0,29.4,18.9,21.7,24.5,19.2,19.1,14.2,28.7,352.910076932206,305.268681805271,338.561455711222,342.03422993087,429.551754867188,413.208324139369,477.461619486917,424.124865750443,465.729772681731,456.387742095555,730.963231468315,485.026272101493,717.258770361224,431.980640304241
ENSG00000073417,O60658,PDE8A,ENSMUSG00000025584,Pde8a,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A OS=Homo sapiens OX=9606 GN=PDE8A PE=1 SV=2",1,1,3,829,,,,,,,,,,,72.7,70.8,67.2,85.3,68.2,70.1,52.2,63.3,38.6,80.8,1080.16345963488,984.256623470764,847.179436543458,745.03870796429,424.378321088444,532.765481355837,783.195215713789,737.609524205387,688.467196056437,539.459691687434,447.009745401411,511.911122854168,726.746608059097,635.777507893775
ENSG00000075914,Q15024,EXOSC7,ENSMUSG00000025785,Exosc7,Exosome complex component RRP42 OS=Homo sapiens OX=9606 GN=EXOSC7 PE=1 SV=3,4,1,2,291,51.0,32.2,54.1,62.9,61.0,54.2,54.8,50.8,43.4,43.8,64.4,59.0,116.0,78.2,86.9,96.1,67.7,70.8,68.6,93.2,331.45633907835,325.532787587054,343.291064998073,429.026761459215,514.794009700709,429.11793481551,437.783101986485,478.146685649658,494.022718828215,436.278326806943,491.561128904481,553.800458174309,573.722310396993,463.596206364685
ENSG00000078687,Q9HCJ0,TNRC6C,ENSMUSG00000025571,Tnrc6c,Trinucleotide repeat-containing gene 6C protein OS=Homo sapiens OX=9606 GN=TNRC6C PE=1 SV=3,1,1,2,1690,80.7,102.2,220.1,278.2,53.3,106.7,145.6,81.6,67.9,94.3,76.7,51.0,62.5,58.5,66.8,88.4,44.9,68.9,44.3,77.4,468.836292337849,459.27628433746,560.744133521375,576.406800959303,592.44762240771,762.370593240684,510.278082701832,659.2735408803,624.774933929246,607.429565307627,571.528915251832,513.987422837461,663.438922838228,751.596450034822
ENSG00000079739,P36871,PGM1,ENSMUSG00000025791,Pgm1,Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3,25,10,50,562,138.5,89.9,136.6,165.4,150.6,147.3,149.6,120.8,140.9,128.8,229.5,232.3,358.1,248.4,306.5,252.2,245.1,236.6,177.1,299.9,5581.50334337027,5707.10287165011,4410.91989370362,4976.3849501578,3177.0994487659,2651.31889923297,2943.50178479149,2726.70926278553,3487.30571935809,2499.30143684593,2066.90402491789,2886.0182443223,2313.994171639,2756.54626148359
ENSG00000084754,P40939,HADHA,ENSMUSG00000025745,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",2,2,9,763,145.6,99.4,138.2,175.3,157.3,158.0,155.2,114.7,168.4,137.4,135.7,116.6,177.1,138.9,177.1,153.0,138.2,142.0,138.3,186.1,6996.76033413505,7499.431676116,6378.6279619595,7368.78602754999,4349.99416000324,4975.6501817808,4553.33638486869,4574.02948601458,4765.37814104917,3823.17739470334,3187.33658855613,3959.16813282067,3766.40450264635,4444.8005021525
ENSG00000088387,Q9BZ29,DOCK9,ENSMUSG00000025558,Dock9,Dedicator of cytokinesis protein 9 OS=Homo sapiens OX=9606 GN=DOCK9 PE=1 SV=2,0,1,2,2069,127.9,75.6,75.4,186.8,79.1,117.0,122.1,86.0,80.4,87.7,172.4,154.7,275.3,237.0,203.3,206.9,172.5,166.3,116.3,186.3,322.933862254231,321.715292631346,318.260808520921,291.905512356647,279.873342122212,451.55686398301,281.183277402163,382.215933509209,288.936209526996,282.180832648516,222.316195186941,284.728131831094,321.588627543104,323.483383620003
ENSG00000099250,O14786,NRP1,ENSMUSG00000025810,Nrp1,Neuropilin-1 OS=Homo sapiens OX=9606 GN=NRP1 PE=1 SV=3,1,1,1,923,,,,,,,,,,,104.4,92.9,158.3,106.9,120.0,102.3,86.1,105.5,74.3,134.1,1267.05311690968,1010.78588149838,1263.79064810852,1609.74826913253,469.579413433128,692.711156942444,662.753771717868,717.910499812873,563.872675930836,718.558509719334,363.436930728236,604.101343559797,485.368393343907,510.240574197898
ENSG00000103269,O75783,RHBDL1,ENSMUSG00000025735,Rhbdl1,Rhomboid-related protein 1 OS=Homo sapiens OX=9606 GN=RHBDL1 PE=1 SV=1,2,1,1,438,,,,,,,,,,,306.8,344.6,279.9,285.2,206.1,259.6,210.5,330.3,174.1,438.3,11.270743914123,14.9066918893947,41.167102245965,16.5813056538117,105.386628801187,152.173191316886,81.321468101285,150.021933730266,169.098678624457,68.6726055673903,115.675750610391,62.039293191151,123.793765504995,191.113569205221
ENSG00000175866,Q9UQB8,BAIAP2,ENSMUSG00000025372,Baiap2,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens OX=9606 GN=BAIAP2 PE=1 SV=1,7,3,7,552,34.4,19.1,37.6,44.9,39.2,41.2,38.2,29.8,29.7,30.0,22.6,22.4,40.9,29.1,30.0,28.2,16.3,22.7,18.0,26.8,889.111205237453,819.238539910624,804.833039488561,1060.03519199376,1259.75265035421,991.15417440301,867.408920513318,950.840230243351,1140.68463968185,1245.03443332421,1600.57171240998,1543.92379466437,1852.81411234546,1594.25751152009
ENSG00000179222,Q9Y5V3,MAGED1,ENSMUSG00000025151,Maged1,Melanoma-associated antigen D1 OS=Homo sapiens OX=9606 GN=MAGED1 PE=1 SV=3,1,1,2,778,110.2,82.2,163.1,230.0,135.2,154.0,119.6,122.3,107.7,115.4,196.6,186.3,516.3,210.7,288.6,182.4,127.0,197.8,157.5,242.4,1570.46953658154,1385.98850075506,1810.82914963275,1350.59242221259,1125.59253770702,1122.94816534719,1193.35130987617,1421.28581702461,992.327966192759,1241.37611159495,1386.85211200807,1317.23518596595,1499.191645125,1193.88459053592
ENSG00000182199,P34897,SHMT2,ENSMUSG00000025403,Shmt2,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",18,9,46,504,32.4,19.4,33.1,35.0,34.1,35.4,35.9,27.2,37.8,23.4,37.6,30.7,40.9,39.8,39.0,33.2,26.4,32.7,25.5,38.4,4641.8476655461,4176.02554972681,3992.25911326124,5251.62832322043,4247.28607445114,4547.45383904658,4155.04334468826,4174.23912009392,5248.85542825924,4510.82310184171,4146.51325689786,4108.34222487474,4810.61510490841,4884.32445090963
ENSG00000182208,Q70IA6,MOB2,ENSMUSG00000025147,Mob2,MOB kinase activator 2 OS=Homo sapiens OX=9606 GN=MOB2 PE=1 SV=1,3,1,3,237,38.1,19.9,36.6,45.0,31.9,37.6,43.0,30.1,31.6,35.4,16.4,14.1,29.3,19.7,19.2,19.5,19.5,18.5,14.0,26.9,302.983518577115,389.63579265838,381.038825146002,447.098834224023,313.164242469116,387.677160510157,299.115042457653,349.226749934115,392.866997484589,280.595991237669,231.029305936572,336.952606071964,284.81099873834,285.743247400142
ENSG00000185624,P07237,P4HB,ENSMUSG00000025130,P4hb,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,13,6,57,508,358.7,220.9,336.0,339.4,320.6,339.5,337.0,278.7,244.6,266.8,171.6,158.1,211.5,172.7,161.3,139.5,132.6,146.3,99.7,233.4,24379.4836999288,23143.2244530238,17310.2624302947,25183.9874249964,32815.3479636167,30168.1449162377,32862.2327277144,21660.3044670681,29358.9324477432,28127.2471153442,38315.4605116408,33617.9397996889,29127.9295872368,27473.1934257708
ENSG00000185813,Q99447,PCYT2,ENSMUSG00000025137,Pcyt2,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens OX=9606 GN=PCYT2 PE=1 SV=1,14,5,24,389,42.1,23.3,49.5,43.8,44.0,37.6,37.5,35.0,42.5,34.2,75.9,83.9,109.8,77.9,86.0,67.4,62.3,68.9,62.1,96.5,6668.80862269371,6480.94191442858,4901.50925638368,8106.51320800181,16540.349751468,25175.3552830032,18844.4106396192,20975.8743372438,20189.0524798673,15917.207334184,20442.2244708965,13610.2684713594,22303.1010698768,20682.5860117285
ENSG00000189221,P21397,MAOA,ENSMUSG00000025037,Maoa,Amine oxidase [flavin-containing] A OS=Homo sapiens OX=9606 GN=MAOA PE=1 SV=1,2,1,3,527,21.5,11.7,15.9,27.7,19.1,26.0,28.4,17.0,18.2,19.3,22.2,26.1,37.3,27.4,21.2,26.1,26.6,22.6,17.6,31.5,296.814437985823,263.962883255217,344.643490936038,201.136251578286,246.200488633765,172.157287586324,220.531443895473,169.192998976049,185.898535513744,182.678674241144,174.421177475877,232.483621373791,156.965433567002,191.830467539037
ENSG00000197142,Q9ULC5,ACSL5,ENSMUSG00000024981,Acsl5,Long-chain-fatty-acid--CoA ligase 5 OS=Homo sapiens OX=9606 GN=ACSL5 PE=1 SV=1,2,1,7,683,24.0,13.4,12.5,38.0,14.2,30.4,35.0,18.5,15.5,21.7,34.9,37.1,70.1,47.4,40.4,39.9,25.9,30.0,17.7,39.0,13049.0877230669,12568.9199629768,9548.38323002854,9010.86220500544,8582.66000729199,5090.50258488067,7840.02194606032,5513.5370293978,7522.86300480607,9054.35702594916,6921.49864015889,10142.7791390228,7454.5360820532,8702.86198771482
ENSG00000197728,P62854,RPS26,ENSMUSG00000025362,Rps26,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,14,2,12,115,132.4,81.9,155.7,162.0,140.7,146.3,131.9,105.8,128.9,117.9,77.3,81.6,119.2,85.2,109.9,90.1,78.0,86.7,81.5,128.6,2764.32610420817,3113.6069180405,2654.90382160203,3350.35717399243,5510.1725199052,3931.16961579072,5428.25091009088,4789.84884638007,4676.36601929041,5279.23651406723,5933.99652373217,5392.48748273167,4382.1007261582,4535.85517058857
