ensembl_id,uniprot_id
ENSMUSG00000031659.14,P51829
ENSMUSG00000031660.15,O88665
ENSMUSG00000031661.13,Q99MH6
ENSMUSG00000031662.9,A0A0R4J0D0
ENSMUSG00000031665.8,Q6P5E3
ENSMUSG00000031666.16,Q64700
ENSMUSG00000031667.17,Q64362
ENSMUSG00000031668.15,"['E9QQ30', 'A0A0R4J1Y1']"
ENSMUSG00000031669.11,Q9CY94
ENSMUSG00000031671.12,Q9CWY3
ENSMUSG00000031672.9,P05202
ENSMUSG00000052407.18,E9Q1U1
ENSMUSG00000052415.6,A0A0B4J1F9
ENSMUSG00000052419.8,F2Z3Y9
ENSMUSG00000052423.16,Q91YY2
ENSMUSG00000052428.11,Q921L3
ENSMUSG00000052430.16,P36898
ENSMUSG00000052435.8,Q6PZD9
ENSMUSG00000052446.18,"['A0A1D5RMJ2', 'D3Z552', 'A0A1D5RLI9', 'D3YV32', 'E9Q9F0', 'E9Q4R5']"
ENSMUSG00000052456.10,O54984
ENSMUSG00000052459.14,P50516
ENSMUSG00000052477.16,"['F7D3Q7', 'E0CXN9', 'Q3KNJ6', 'Q8C898', 'E0CY74', 'E0CXL1']"
ENSMUSG00000053178.6,"['Q05C75', 'A0A096P6K7']"
ENSMUSG00000053181.2,Q8BRT5
ENSMUSG00000053182.12,"['A0A338P6R0', 'E9Q573']"
ENSMUSG00000053192.10,P97783
ENSMUSG00000053194.3,Q9D9N5
ENSMUSG00000053198.15,O55103
ENSMUSG00000053199.14,Q6IFT4
ENSMUSG00000053205.10,Q60969
ENSMUSG00000053208.11,
ENSMUSG00000053214.9,
ENSMUSG00000053219.16,Q9CZQ6
ENSMUSG00000029036.19,Q925I1
ENSMUSG00000029038.10,Q9CY97
ENSMUSG00000029047.14,B1AUE5
ENSMUSG00000029048.4,Q9CQU3
ENSMUSG00000029049.15,"['B1AUE8', 'F2Z475', 'B1AUE7', 'A2RTS7']"
ENSMUSG00000029050.16,"['B1AUF1', 'B1AUF2']"
ENSMUSG00000029053.17,Q02956
ENSMUSG00000029054.9,P22933
ENSMUSG00000029055.18,A2AP18
ENSMUSG00000029056.14,Q80YV4
ENSMUSG00000029059.10,Q9DB60
ENSMUSG00000029152.14,Q9CRD0
ENSMUSG00000029153.12,Q9D8W7
ENSMUSG00000029156.12,P82349
ENSMUSG00000029158.10,Q9JIM5
ENSMUSG00000029161.9,E9QPK1
ENSMUSG00000029162.16,"['A0A0J9YTU1', 'A0A0J9YU79', 'A0A0J9YUK6', 'E9Q1Q9']"
ENSMUSG00000029163.10,Q99K41
ENSMUSG00000029165.18,Q09M02
ENSMUSG00000029166.15,Q6PER3
ENSMUSG00000029167.14,O70343
ENSMUSG00000029168.15,Q9EQF6
ENSMUSG00000026073.14,P27931
ENSMUSG00000026074.16,"['A0A0A6YVZ8', 'E9PVG7', 'A0A0A6YVR7', 'A0A0A6YXE5', 'A0A0A6YWJ2', 'F8VPL5', 'A0A0A6YW53', 'A0A0A6YWM8', 'A0A0A6YWR8', 'B2RUE8', 'B7ZNR9']"
ENSMUSG00000026077.16,"['G3X9B7', 'G3UYV8']"
ENSMUSG00000026078.11,Q8BVF2
ENSMUSG00000026080.15,Q6PGK7
ENSMUSG00000026082.12,Q920Q2
ENSMUSG00000026083.13,Q05D44
ENSMUSG00000026087.12,Q9D7N6
ENSMUSG00000026088.16,Q8VDV8
ENSMUSG00000026090.17,"['F7B0R9', 'E0CXB3', 'E9Q3M9']"
ENSMUSG00000026094.15,Q8BG48
ENSMUSG00000020330.17,Q00547
ENSMUSG00000020331.10,O88703
ENSMUSG00000020333.18,Q91WC3
ENSMUSG00000020334.7,Q9Z306
ENSMUSG00000020335.14,Q9QXT9
ENSMUSG00000020340.17,Q5SQX6
ENSMUSG00000020346.17,P27808
ENSMUSG00000020349.5,P63330
ENSMUSG00000020354.16,P82347
ENSMUSG00000020357.4,P35917
ENSMUSG00000020358.18,Q99020
ENSMUSG00000020359.14,Q8R1K4
ENSMUSG00000009030.15,Q9DBX2
ENSMUSG00000009035.16,Q8BG09
ENSMUSG00000009073.17,P46662
ENSMUSG00000009075.3,Q91ZM8
ENSMUSG00000009076.11,Q9CQR5
ENSMUSG00000009079.17,Q61545
ENSMUSG00000009090.18,O35643
ENSMUSG00000009092.6,Q9D8K3
ENSMUSG00000009097.11,"['A0A338P6V6', 'F6ZP09', 'B9EII4', 'A0A338P6A8']"
ENSMUSG00000009108.16,P50149
ENSMUSG00000009112.5,P59017
ENSMUSG00000009114.18,"['E9Q7R5', 'G5E8K1']"
ENSMUSG00000035456.10,Q8BZ97
ENSMUSG00000035458.16,P48787
ENSMUSG00000035459.19,Q8R4U0
ENSMUSG00000035469.18,"['G3UZL2', 'G3UYZ5', 'G3UWU1', 'G3UZ62', 'A0A0R4J025']"
ENSMUSG00000035472.15,Q8BZ09
ENSMUSG00000035473.11,Q8K157
ENSMUSG00000035476.10,Q571K4
ENSMUSG00000035478.15,Q9Z2D8
ENSMUSG00000035486.15,Q4FZD7
ENSMUSG00000035493.11,P82198
ENSMUSG00000035495.16,Q3U269
ENSMUSG00000042485.8,Q99JI1
ENSMUSG00000042487.7,Q5XJE5
ENSMUSG00000042489.16,Q80YR7
ENSMUSG00000042492.13,Q8BHL3
ENSMUSG00000042496.19,Q3UTQ7
ENSMUSG00000042498.17,Q8C779
ENSMUSG00000042500.12,Q8CJF8
ENSMUSG00000042502.11,Q9CWK3
ENSMUSG00000042505.7,Q8BQU3
ENSMUSG00000042506.16,Q5DU02
ENSMUSG00000042507.16,"['A0A1Y7VP67', 'E9Q2I4']"
ENSMUSG00000028398.9,Q9CQ00
ENSMUSG00000028399.19,Q64487
ENSMUSG00000028402.19,Q8VBX6
ENSMUSG00000028403.16,Q9D270
ENSMUSG00000028405.10,P28271
ENSMUSG00000028407.5,A0A140LHV9
ENSMUSG00000028409.12,Q3UKJ7
ENSMUSG00000028410.14,P63037
ENSMUSG00000028411.16,Q7TQC5
ENSMUSG00000028412.18,Q6X893
ENSMUSG00000028413.14,P15535
ENSMUSG00000073877.11,Q9Z1X0
ENSMUSG00000073878.4,"['P86793', 'P86792']"
ENSMUSG00000073879.5,
ENSMUSG00000073888.14,"['A0A2I3BRY3', 'A0A2I3BQE5', 'A2AMS5', 'A2AMS8', 'A0A0R4J0X6', 'A2AMS6', 'A2AMS7']"
ENSMUSG00000073889.11,Q64385
ENSMUSG00000073893.7,Q8VG43
ENSMUSG00000073894.2,Q9DAE2
ENSMUSG00000073902.6,
ENSMUSG00000073910.11,Q8VE04
ENSMUSG00000073915.6,Q8VGZ9
ENSMUSG00000073940.4,A8DUK4
ENSMUSG00000035401.10,Q8BMB0
ENSMUSG00000035403.11,Q80YA8
ENSMUSG00000035407.9,Q6P9J5
ENSMUSG00000035413.9,Q91X86
ENSMUSG00000035437.16,A2AWA9
ENSMUSG00000035439.14,Q99L00
ENSMUSG00000035441.15,Q5SYD0
ENSMUSG00000035443.11,Q91YJ3
ENSMUSG00000035448.10,P51678
ENSMUSG00000035451.8,P35582
ENSMUSG00000035455.13,Q8BPY9
ENSMUSG00000046157.14,Q8BFQ2
ENSMUSG00000046159.17,Q9ERZ3
ENSMUSG00000046160.7,Q9JKN5
ENSMUSG00000046167.6,Q8BMF8
ENSMUSG00000046168.10,Q2TUM3
ENSMUSG00000046169.11,"['A0A286YEC9', 'D3Z1A5', 'A0A286YCZ1', 'A0A286YCD8']"
ENSMUSG00000046178.4,Q61200
ENSMUSG00000046179.18,Q58FA4
ENSMUSG00000046182.9,D3Z7H4
ENSMUSG00000046185.11,Q9D654
ENSMUSG00000046186.9,Q8R422
ENSMUSG00000070532.6,Q3URK1
ENSMUSG00000070544.7,Q04750
ENSMUSG00000070565.12,"['D3YUS5', 'D3Z7S1', 'D3Z1T6', 'E9PW37', 'D3YWZ9']"
ENSMUSG00000070568.13,"['A0A1B0GSD2', 'A0A1B0GSE3', 'Q3V0K1']"
ENSMUSG00000070572.8,
ENSMUSG00000070574.4,
ENSMUSG00000070576.5,D3YWE6
ENSMUSG00000070583.2,P70213
ENSMUSG00000070594.11,"['E9PUM5', 'E9Q8B6', 'E9Q8B5']"
ENSMUSG00000070604.6,D3YZF7
ENSMUSG00000070605.5,B1ASD8
ENSMUSG00000018189.13,Q9WUP7
ENSMUSG00000018196.19,Q923X4
ENSMUSG00000018199.10,O08848
ENSMUSG00000018209.16,Q9JI11
ENSMUSG00000018211.14,Q9JHY4
ENSMUSG00000018217.13,Q5SXS3
ENSMUSG00000018238.7,Q07105
ENSMUSG00000018239.10,Q9CX48
ENSMUSG00000018259.14,"['O54832', 'O35258', 'A0A286YDW1']"
ENSMUSG00000018286.7,Q60692
ENSMUSG00000018287.13,Q7TNE3
ENSMUSG00000018293.5,P62962
ENSMUSG00000062314.4,Q7TQQ2
ENSMUSG00000062328.9,Q9CPR4
ENSMUSG00000062329.5,A1E5L0
ENSMUSG00000062345.11,P12388
ENSMUSG00000062352.16,O35671
ENSMUSG00000062353.7,
ENSMUSG00000062365.5,
ENSMUSG00000062373.9,Q4VAE3
ENSMUSG00000062376.8,Q9CRC6
ENSMUSG00000062380.5,Q9ERD7
ENSMUSG00000062382.10,"['A0A1Y7VNT9', 'Q9CPX4']"
ENSMUSG00000038047.19,"['Q6NV99', 'B1AXR2']"
ENSMUSG00000038055.13,Q9WUQ7
