Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Ratios: (NASA GC) / (Pool),Ratios: (BA Pool) / (Pool),Ratios: (GC Pool) / (Pool),Ratio Standard Errors [%]: (NASA GC) / (Pool),Ratio Standard Errors [%]: (BA Pool) / (Pool),Ratio Standard Errors [%]: (GC Pool) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
False,IsMasterProtein,A2ASS6,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,29.9718853832391,839,1121,817,1,35213,3904.053,6.2,1.13,0.72,0.4,168.92,3.46,4.03,,839,0,0.0,Green,2338.02237464619
False,IsMasterProtein,Q8C196,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2",90.6666666666667,163,2369,161,1,1500,164.514,6.92,0.79,0.73,0.63,19.81,6.93,4.18,,163,0,0.0,Green,995.067300421291
False,IsMasterProtein,P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2,79.7923322683706,163,594,160,1,2504,272.257,6.58,0.8,0.71,0.48,13.18,5.76,3.68,,163,0,0.0,Green,880.43315720724
False,IsMasterProtein,Q5SX40,Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1,72.605561277034,201,660,186,1,1942,223.203,5.76,1.33,0.83,0.42,213.33,8.72,4.56,,201,0,0.0,Green,839.546677552429
False,IsMasterProtein,Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3,52.5687486676615,224,348,216,1,4691,533.861,5.96,0.79,0.71,0.58,25.62,4.34,4.31,,224,0,0.0,Green,740.407627805908
False,IsMasterProtein,P26039,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2,71.6646989374262,146,286,145,1,2541,269.653,6.18,0.78,0.7,0.63,17.35,8.31,7.3,,146,0,0.0,Green,637.868874283374
False,IsMasterProtein,Q8VDD5,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,70.5612244897959,170,416,167,1,1960,226.232,5.66,0.77,0.72,0.62,21.76,5.14,7.97,,170,0,0.0,Green,626.48279481454
False,IsMasterProtein,B2RXX6,Spna2 protein OS=Mus musculus GN=Sptan1 PE=2 SV=1,70.0847799757771,164,329,164,1,2477,285.005,5.34,0.84,0.75,0.57,19.03,6.81,5.58,,164,0,0.0,Green,592.813391390328
False,IsMasterProtein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,46.4685615848407,201,305,194,1,4644,531.71,6.42,0.75,0.71,0.56,19.47,7.07,8.61,,201,0,0.0,Green,580.274881371235
False,IsMasterProtein,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1,92.5720620842572,97,654,96,1,902,98.647,5.91,0.86,0.77,0.55,11.07,6.84,7.84,,97,0,0.0,Green,556.052249064666
