Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Ratios: (NASA FLT) / (Pool),Ratios: (Ba Pool) / (Pool),Ratios: (FLT Pool) / (Pool),Ratio Standard Errors [%]: (NASA FLT) / (Pool),Ratio Standard Errors [%]: (Ba Pool) / (Pool),Ratio Standard Errors [%]: (FLT Pool) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
False,IsMasterProtein,Q8C196,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2",88.6,156,1999,154,1,1500,164.514,6.92,1.04,0.88,1.03,18.29,2.31,3.46,,156,0,0.0,Green,932.182171760331
False,IsMasterProtein,P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2,76.2380191693291,158,527,155,1,2504,272.257,6.58,1.03,0.93,0.82,36.5,5.05,6.28,,158,0,0.0,Green,823.117532455732
False,IsMasterProtein,Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3,51.9931784267747,228,335,220,1,4691,533.861,5.96,0.95,0.88,0.94,23.0,4.82,2.46,,228,0,0.0,Green,713.251260583692
False,IsMasterProtein,P26039,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2,69.4608421881149,145,263,143,1,2541,269.653,6.18,0.99,0.85,1.03,18.74,6.1,5.48,,145,0,0.0,Green,627.370652307924
False,IsMasterProtein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,45.198105081826,196,292,191,1,4644,531.71,6.42,1.05,0.9,0.94,21.14,4.25,5.72,,196,0,0.0,Green,604.529758207654
False,IsMasterProtein,B2RXX6,Spna2 protein OS=Mus musculus GN=Sptan1 PE=2 SV=1,71.8207509083569,174,286,174,1,2477,285.005,5.34,1.06,0.89,0.98,19.25,3.71,6.17,,174,0,0.0,Green,596.671834743067
False,IsMasterProtein,Q8VDD5,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,69.9489795918367,173,379,170,1,1960,226.232,5.66,1.03,0.88,1.06,22.61,3.34,3.18,,173,0,0.0,Green,586.075191794131
False,IsMasterProtein,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1,92.9046563192905,94,529,92,1,902,98.647,5.91,0.96,0.83,0.96,22.09,4.33,6.57,,94,0,0.0,Green,541.340419604942
False,IsMasterProtein,Q80X90,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3,60.4919292851653,120,186,115,1,2602,277.651,5.71,1.01,0.87,1.02,24.94,9.46,8.02,,120,0,0.0,Green,512.68301606231
False,IsMasterProtein,F8VPN4,Protein Agl OS=Mus musculus GN=Agl PE=1 SV=1,74.7389033942559,107,239,106,1,1532,174.175,6.74,0.9,0.78,1.14,21.4,8.26,7.19,,107,0,0.0,Green,470.841168187095
