ensembl_id,Accession,Mmus_C57-6J_LVR_GC_I_Rep1_M31,Mmus_C57-6J_LVR_GC_I_Rep2_M32,Mmus_C57-6J_LVR_FLT_I_Rep1_M21,Mmus_C57-6J_LVR_FLT_I_Rep2_M22,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mmus_C57-6J_LVR_FLT_C_Rep1_M25,Mmus_C57-6J_LVR_FLT_C_Rep2_M26,Mmus_C57-6J_LVR_FLT_C_Rep3_M27,Mmus_C57-6J_LVR_FLT_C_Rep4_M28,Mmus_C57-6J_LVR_FLT_C_Rep5_M30,GC_mean,GC_std,FLT_mean,FLT_std,Checked,Master,Description,Coverage,# Peptides,# PSMs (peptide-spectrum matches),# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI (isoelecric point),Ratios: (BA_Casis) / (Pool),Ratios: (GC_Casis) / (Pool),Ratios: (FLIGHT_Casis) / (Pool),Ratio Standard Errors [%]: (BA_Casis) / (Pool),Ratio Standard Errors [%]: (GC_Casis) / (Pool),Ratio Standard Errors [%]: (FLIGHT_Casis) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
ENSMUSG00000031672,P05202,13246.8891004918,13704.0885578108,10927.8046718183,12395.7143698996,8342.2575405494,7476.76577695864,8439.90744494236,6540.74737678491,8997.94997728863,8958.57476090745,7042.50721618123,9412.63633078195,8287.6358576617,8553.8869571403,9535.515110689506,2806.883803971584,9368.394309198646,1779.866505958336,False,IsMasterProtein,"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1",84.1860465116279,45,195,45,1,430,47.381,9.0,1.53,1.47,1.23,14.66,14.03,18.54,,45,0,0.0,Green,207.305987488164
ENSMUSG00000052428,Q921L3,1590.92197756389,1673.97519727076,1471.4284339429,1810.65196629081,2425.04237078458,1786.40081100162,2253.87316946333,1862.98724244086,1991.4276426651,2643.0588922144,2114.77930089231,2817.37978065478,1540.05285329166,2255.66486499791,1940.6612015985916,305.11542820855874,2093.2880131835386,520.5840691056545,False,IsMasterProteinCandidate,Transmembrane and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Tmco1 PE=1 SV=1,7.4468085106383,1,1,1,1,188,21.161,9.74,1.03,1.45,0.97,21.17,35.25,8.63,,1,1,0.0002487562189054,Yellow,6.64504554560734
ENSMUSG00000052456,O54984,526.553040221807,499.585578442673,573.99388574873,578.941559610338,592.172489319114,485.375160733433,537.318089042899,514.744866303,617.143498155292,695.350002631532,562.693949812647,613.190114593566,563.907836590771,517.892513341341,538.9846746026026,48.49210491783435,586.5671231898465,55.615207399721086,False,IsMasterProtein,ATPase Asna1 OS=Mus musculus GN=Asna1 PE=1 SV=2,42.2413793103448,11,20,11,1,348,38.797,4.91,1.41,1.37,1.16,27.3,30.43,29.8,,11,0,0.0,Green,31.566619556042
ENSMUSG00000052459,P50516,1070.35525404068,1013.3298874153,1317.72423358352,786.586491189098,604.722049763893,432.340845014397,539.174724512227,626.256186388342,484.74542671091,615.221152665835,571.132121140767,569.665250632989,448.507833844335,491.147688174401,681.560624835107,255.3805396854851,685.7121101758493,298.6917503842136,False,IsMasterProtein,V-type proton ATPase catalytic subunit A OS=Mus musculus GN=Atp6v1a PE=1 SV=2,62.0745542949757,32,62,32,1,617,68.283,5.58,1.46,1.33,1.14,12.01,12.19,17.26,,32,0,0.0,Green,109.285325289848
ENSMUSG00000029036,Q925I1,1058.97977514065,911.041490998652,839.374813760731,1074.99384706947,1663.96150195022,1964.17678369497,1646.73592067859,1722.45858560771,2002.61589754725,1368.36401224287,1564.42474879881,1314.53994540102,1690.05321940064,1597.2729381757,1567.1385650882917,423.43895849808587,1349.8605035498917,305.70112093643473,False,IsMasterProtein,ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1,43.4856175972927,28,50,28,1,591,66.701,9.29,1.22,1.38,1.18,21.11,20.99,22.92,,28,0,0.0,Green,79.1810938854654
ENSMUSG00000029038,Q9CY97,873.306545029039,849.445885938205,857.527304791294,809.422748006489,794.444944417372,666.026789786133,693.388422139597,591.765311820631,608.121837381744,662.541279420566,405.06681119937,867.639866855508,525.558925969602,457.586634392616,725.2142480732458,114.15852079739471,655.0490815193492,195.07686037695873,False,IsMasterProtein,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 OS=Mus musculus GN=Ssu72 PE=1 SV=1,24.7422680412371,4,4,4,1,194,22.503,5.21,1.31,1.06,1.18,40.71,40.45,21.37,,4,1,0.0002877697841726,Yellow,10.4951320535008
ENSMUSG00000029048,Q9CQU3,2152.87218087724,2353.22531565161,1896.02404892307,2172.99927386693,2138.00798749064,1854.38579923758,2120.59967782419,2077.94124176563,2043.5643617119,2147.64151608578,1944.68061514115,2428.91444976315,2036.84669138027,2064.8555884607,2105.7995092226843,148.632627298845,2098.851740517293,176.41233128993625,False,IsMasterProtein,Protein RER1 OS=Mus musculus GN=Rer1 PE=1 SV=1,23.9795918367347,4,5,4,1,196,22.973,9.51,1.22,1.45,1.24,35.54,24.01,38.73,,4,0,0.0,Green,16.8024859128821
ENSMUSG00000029056,Q80YV4,191.51889180441,232.041572334196,191.313651033297,251.288034071292,400.987806307034,383.986025747788,430.903212354877,418.950303898791,350.891110449753,326.434641059168,403.823167489072,322.833363655189,468.117020139159,367.69579889202,344.18270327097844,94.73528057759788,333.0722394770281,92.53343846728285,False,IsMasterProtein,Pantothenate kinase 4 OS=Mus musculus GN=Pank4 PE=1 SV=2,10.2439024390244,8,9,8,1,820,91.464,6.71,1.28,1.45,1.06,33.03,26.04,23.2,,8,0,0.0,Green,16.2632341726708
ENSMUSG00000029059,Q9DB60,99.5216750286674,168.503072713156,219.00401213268,145.507001128912,297.269850234662,207.798277174558,204.622510445189,215.683973321982,159.12184516971,194.946193081614,325.575544579969,261.781160462738,200.583016964442,158.111698025009,193.21731486970347,60.86396244959564,215.0726609107663,62.05774670251679,False,IsMasterProtein,Prostamide/prostaglandin F synthase OS=Mus musculus GN=Fam213b PE=1 SV=1,20.3980099502488,4,5,4,1,201,21.656,6.74,1.41,1.79,1.14,13.11,42.79,16.44,,4,1,0.0002662406815761,Yellow,8.2762198476626
ENSMUSG00000029152,Q9CRD0,1855.2548241739,1744.88535667664,1629.67511888606,1996.75669675877,2536.05724084883,1897.94673297125,2196.67303080634,1850.2225469883,2317.17136254578,2736.68278382061,2304.7538030763,2568.43718186682,1994.93133931056,2226.25864950371,2056.887299287291,295.2018992417429,2208.213653317547,374.96587857771846,False,IsMasterProtein,OCIA domain-containing protein 1 OS=Mus musculus GN=Ociad1 PE=1 SV=1,61.9433198380567,12,18,12,1,247,27.593,7.81,1.44,1.66,1.24,21.09,18.29,35.47,,12,0,0.0,Green,42.959079306088
