human_ensembl_gene_id,human_accession,mouse_ensembl_gene_id,MEAN_rna,STD_rna,MEAN_prot,STD_prot
ENSG00000003393,Q96Q42,ENSMUSG00000026024,1228.8517468257633,425.2208215214005,10.914285714285715,2.716264942544309
ENSG00000010256,P31930,ENSMUSG00000025651,4207.559940875907,731.4711009330474,66.41428571428573,11.973641686558656
ENSG00000021826,P31327,ENSMUSG00000025991,59234.69294495347,16163.812107189564,1060.0142857142857,183.079758835427
ENSG00000023228,P28331,ENSMUSG00000025968,1767.4752179297714,228.94775672141668,81.5,13.90623361422256
ENSG00000048162,Q9Y3C1,ENSMUSG00000025869,371.005155814231,69.14713284157295,57.32857142857142,12.561145686297127
ENSG00000055044,Q9Y2X3,ENSMUSG00000026020,500.3160488532743,162.43621893774713,28.242857142857144,7.217307240898354
ENSG00000073417,O60658,ENSMUSG00000025584,636.1604029148046,144.42784093350068,,
ENSG00000075914,Q15024,ENSMUSG00000025785,470.1823224435284,78.69519718015589,52.885714285714286,10.037002967590901
ENSG00000078687,Q9HCJ0,ENSMUSG00000025571,606.447458678664,78.60939210387471,140.97142857142856,80.73734605261092
ENSG00000079739,P36871,ENSMUSG00000025791,3130.009854724304,1113.7554482627738,139.7,23.896164266816267
ENSG00000084754,P40939,ENSMUSG00000025745,4704.043015769783,1553.6314418683744,147.0,23.9457024675967
ENSG00000088387,Q9BZ29,ENSMUSG00000025558,292.0662131010323,35.4998295636277,111.9857142857143,40.25292654252726
ENSG00000099250,O14786,ENSMUSG00000025810,793.606381255746,463.51155365784837,,
ENSG00000103269,O75783,ENSMUSG00000025735,88.43477028270357,59.18851589968958,,
ENSG00000175866,Q9UQB8,ENSMUSG00000025372,1385.9242565352047,364.26796321630553,36.371428571428574,8.277421958902076
ENSG00000179222,Q9Y5V3,ENSMUSG00000025151,1399.9944595821758,206.44961555245547,142.04285714285714,47.378752521316876
ENSG00000182199,P34897,ENSMUSG00000025403,4529.215082273431,472.48000909570555,32.18571428571429,5.774492350394267
ENSG00000182208,Q70IA6,ENSMUSG00000025147,321.038544107816,73.0752396381575,36.01428571428571,8.300086058073651
ENSG00000185624,P07237,ENSMUSG00000025130,28450.860042138946,6586.772198852947,321.7285714285714,45.82494641879807
ENSG00000185813,Q99447,ENSMUSG00000025137,15137.629974632957,6675.634559171975,39.68571428571429,8.31974129634421
ENSG00000189221,P21397,ENSMUSG00000025037,212.02273095873926,63.0336066897346,21.47142857142857,6.317360811212829
ENSG00000197142,Q9ULC5,ENSMUSG00000024981,8690.754044276122,1135.5782078079887,23.928571428571434,10.790229266287515
ENSG00000197728,P62854,ENSMUSG00000025362,4504.133916124614,1169.1317450631514,135.84285714285716,26.295364429423493
ENSG00000198682,O95340,ENSMUSG00000024899,4829.726435913796,1929.9749259874204,74.79999999999998,14.751836043918965
ENSG00000198814,P32189,ENSMUSG00000025059,1799.1398915721916,418.5258496197409,9.657142857142857,2.3458169457264013
ENSG00000198924,Q6PJP8,ENSMUSG00000025077,318.44473987846493,68.63978302581872,,
ENSG00000211456,Q9NTJ5,ENSMUSG00000025240,1173.7322953199835,216.47912169773304,102.12857142857142,33.40622268808185
ENSG00000213614,P06865,ENSMUSG00000025232,759.0274881102289,158.54234105476868,31.071428571428573,4.189556176062203
ENSG00000257727,Q9Y2B0,ENSMUSG00000025381,1973.8437132513598,484.22279377198237,89.25714285714285,22.08724044502143
ENSG00000114648,O94889,ENSMUSG00000054792,172.0182350832261,32.69513288560803,28.571428571428573,5.986293868973881
ENSG00000130402,O43707,ENSMUSG00000054808,3218.8883778818167,433.73879398170646,30.2,6.02605454118475
ENSG00000133818,P62070,ENSMUSG00000055723,273.0247054771909,66.40508017668148,44.628571428571426,13.05561364390995
ENSG00000137845,O14672,ENSMUSG00000054693,462.5007216110024,179.7221339496921,41.98571428571429,8.789468806746054
ENSG00000139547,O75452,ENSMUSG00000040134,24628.448556420888,4162.665912062808,93.11428571428571,38.68123699208823
ENSG00000139547,O75452,ENSMUSG00000054052,1.1105090195226457,1.26633311929179,93.11428571428571,38.68123699208823
ENSG00000139547,O75452,ENSMUSG00000056148,1678.6334072033094,495.0748482196336,93.11428571428571,38.68123699208823
ENSG00000139547,O75452,ENSMUSG00000069456,2542.836533052367,585.3985928392715,93.11428571428571,38.68123699208823
ENSG00000139547,O75452,ENSMUSG00000074639,6423.068047902164,1210.915957695588,93.11428571428571,38.68123699208823
ENSG00000139547,O75452,ENSMUSG00000089789,20.48686367000508,28.87064496062627,93.11428571428571,38.68123699208823
ENSG00000198028,Q96MR9,ENSMUSG00000055150,25.481119850480248,17.15754973078869,,
ENSG00000136881,Q14032,ENSMUSG00000039653,5102.888471401003,876.9446993280194,,
ENSG00000137449,Q7Z5Q1,ENSMUSG00000039782,1169.8689024169075,424.6847459160161,30.21428571428572,13.006591735402036
ENSG00000137801,P07996,ENSMUSG00000040152,58.489226250279394,71.97452077357839,47.12857142857143,14.985739252782324
ENSG00000146054,Q9C029,ENSMUSG00000040350,452.56649550408963,144.28702535894448,,
ENSG00000147586,Q9Y2Q9,ENSMUSG00000040269,548.578902566536,172.16066366962286,123.89999999999999,18.531504705950532
ENSG00000148965,P35542,ENSMUSG00000040017,5464.9373244175085,2779.6597519076636,12.557142857142859,18.302081588611458
ENSG00000153187,Q00839,ENSMUSG00000039630,5062.204470389365,541.0242687111377,154.57142857142853,25.27908979675457
ENSG00000153956,P54289,ENSMUSG00000040118,128.21998025121948,275.290657975365,104.94285714285715,27.21493812491326
ENSG00000165325,Q05D60,ENSMUSG00000039977,3.4325131558441706,3.3634375171248174,24.08571428571429,7.646443306406924
ENSG00000165810,Q6UXG8,ENSMUSG00000040283,102.66194429145551,68.35533558000124,216.94285714285712,46.17787555178552
ENSG00000166986,P56192,ENSMUSG00000040354,1271.3770451425548,510.30396271609965,,
ENSG00000112290,Q92558,ENSMUSG00000019831,27.87098977475949,13.860874931467025,77.05714285714286,22.609943029771745
ENSG00000112335,O60493,ENSMUSG00000019804,1537.3126652959343,141.71418689567568,29.128571428571426,7.121730661787738
ENSG00000112339,Q9Y450,ENSMUSG00000019977,1260.7410555322124,205.507510017385,60.12857142857143,24.827653553092386
ENSG00000112769,Q16363,ENSMUSG00000019846,87.45519015301322,56.531640008000124,,
ENSG00000113643,P54136,ENSMUSG00000018848,576.2802528196775,56.98801463757204,56.457142857142856,13.899503245662792
ENSG00000115266,O95996,ENSMUSG00000020135,14.044866876290858,17.166758452869566,81.04285714285716,23.11708294334568
ENSG00000118520,P05089,ENSMUSG00000019987,28351.655373790625,9187.617340577315,73.34285714285714,15.66704153553537
