human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,mouse_accession
ENSG00000003393,Q96Q42,ALS2,ENSMUSG00000026024,Als2,Q920R0
ENSG00000003402,O15519,CFLAR,ENSMUSG00000026031,Cflar,O35732
ENSG00000007541,Q9BRB3,PIGQ,ENSMUSG00000025728,Pigq,Q9QYT7
ENSG00000008196,Q92481,TFAP2B,ENSMUSG00000025927,Tfap2b,Q61313
ENSG00000010256,P31930,UQCRC1,ENSMUSG00000025651,Uqcrc1,Q9CZ13
ENSG00000012779,P09917,ALOX5,ENSMUSG00000025701,Alox5,P48999
ENSG00000013441,P49759,CLK1,ENSMUSG00000026034,Clk1,P22518
ENSG00000021826,P31327,CPS1,ENSMUSG00000025991,Cps1,Q8C196
ENSG00000023228,P28331,NDUFS1,ENSMUSG00000025968,Ndufs1,Q91VD9
ENSG00000023287,Q8TDY2,RB1CC1,ENSMUSG00000025907,Rb1cc1,Q9ESK9
ENSG00000030419,Q9UKS7,IKZF2,ENSMUSG00000025997,Ikzf2,P81183
ENSG00000040341,Q9NUL3,STAU2,ENSMUSG00000025920,Stau2,Q8CJ67
ENSG00000040933,Q96PE3,INPP4A,ENSMUSG00000026113,Inpp4a,"['D3YUL8', 'E9Q9A0', 'F6V2U0', 'D3YUD3', 'D3Z230', 'Q3UEQ1', 'A0A0A6YXS5', 'F6R4N2', 'A0A0R4J0Q2', 'E9QAD0']"
ENSG00000048140,Q96FV3,TSPAN17,ENSMUSG00000025875,Tspan17,"['E9PWC3', 'F6R550', 'Q3TLW9', 'E9QAJ5', 'F7CRB7', 'F6VW20', 'E9QN85', 'Q3TAQ3']"
ENSG00000048162,Q9Y3C1,NOP16,ENSMUSG00000025869,Nop16,Q9CPT5
ENSG00000051596,Q96J01,THOC3,ENSMUSG00000025872,Thoc3,Q8VE80
ENSG00000055044,Q9Y2X3,NOP58,ENSMUSG00000026020,Nop58,Q6DFW4
ENSG00000064012,Q14790,CASP8,ENSMUSG00000026029,Casp8,O89110
ENSG00000064933,P54277,PMS1,ENSMUSG00000026098,Pms1,"['D3Z611', 'D3YX04', 'D3Z012', 'D3Z0R7', 'E9Q8A5', 'Q8K119']"
ENSG00000065665,Q9H9S3,SEC61A2,ENSMUSG00000025816,Sec61a2,Q9JLR1
ENSG00000067167,Q15629,TRAM1,ENSMUSG00000025935,Tram1,Q91V04
ENSG00000068383,Q14642,INPP5A,ENSMUSG00000025477,Inpp5a,Q7TNC9
ENSG00000071054,O95819,MAP4K4,ENSMUSG00000026074,Map4k4,"['A0A0A6YVZ8', 'E9PVG7', 'A0A0A6YVR7', 'A0A0A6YXE5', 'A0A0A6YWJ2', 'F8VPL5', 'A0A0A6YW53', 'A0A0A6YWM8', 'A0A0A6YWR8', 'B2RUE8', 'B7ZNR9']"
ENSG00000071073,Q9UM21,MGAT4A,ENSMUSG00000026110,Mgat4a,Q812G0
ENSG00000072133,Q9UK32,RPS6KA6,ENSMUSG00000025665,Rps6ka6,"['A2CEE5', 'A2CEE6', 'E9PUP0', 'A2CEE7', 'B1B0X3', 'B1B0X2', 'B1B0X4', 'B1B0X1', 'A2CEE8', 'B2GVN8']"
ENSG00000072135,Q99952,PTPN18,ENSMUSG00000026126,Ptpn18,Q61152
ENSG00000073417,O60658,PDE8A,ENSMUSG00000025584,Pde8a,O88502
ENSG00000074582,Q9Y276,BCS1L,ENSMUSG00000026172,Bcs1l,Q9CZP5
ENSG00000075568,Q92545,TMEM131,ENSMUSG00000026116,Tmem131,O70472
ENSG00000075914,Q15024,EXOSC7,ENSMUSG00000025785,Exosc7,Q9D0M0
ENSG00000077684,Q6IE81,JADE1,ENSMUSG00000025764,Jade1,Q6ZPI0
ENSG00000078687,Q9HCJ0,TNRC6C,ENSMUSG00000025571,Tnrc6c,"['B7ZC94', 'B1ATC3']"
ENSG00000079739,P36871,PGM1,ENSMUSG00000025791,Pgm1,Q9D0F9
ENSG00000081320,O94768,STK17B,ENSMUSG00000026094,Stk17b,Q8BG48
ENSG00000082146,Q9C0K7,STRADB,ENSMUSG00000026027,Stradb,Q8K4T3
ENSG00000082269,Q9P2D6,FAM135A,ENSMUSG00000026153,Fam135a,Q6NS59
ENSG00000084754,P40939,HADHA,ENSMUSG00000025745,Hadha,Q8BMS1
ENSG00000087206,Q96RL1,UIMC1,ENSMUSG00000025878,Uimc1,"['E9Q577', 'E9PWM5', 'A0A0R4J183', 'A0A0R4J073']"
ENSG00000088386,P46059,SLC15A1,ENSMUSG00000025557,Slc15a1,Q9JIP7
ENSG00000088387,Q9BZ29,DOCK9,ENSMUSG00000025558,Dock9,"['A0A571BG77', 'A0A1D5RLB8', 'A0A1D5RMM1', 'A0A1D5RLE0', 'A0A5F8MPL9', 'E9QMR2', 'F8VPN7']"
ENSG00000096092,Q9Y6G1,TMEM14A,ENSMUSG00000025933,Tmem14a,P56983
ENSG00000099250,O14786,NRP1,ENSMUSG00000025810,Nrp1,P97333
ENSG00000099834,Q9HBB8,CDHR5,ENSMUSG00000025497,Cdhr5,Q8VHF2
ENSG00000101665,O15105,SMAD7,ENSMUSG00000025880,Smad7,O35253
ENSG00000101911,P11908,PRPS2,ENSMUSG00000025742,Prps2,Q9CS42
ENSG00000101966,P98170,XIAP,ENSMUSG00000025860,Xiap,Q60989
ENSG00000101972,Q8N3U4,STAG2,ENSMUSG00000025862,Stag2,O35638
ENSG00000102271,Q9C0H6,KLHL4,ENSMUSG00000025597,Klhl4,"['B1AZQ9', 'Q8BLJ6', 'B1AZR0']"
ENSG00000103269,O75783,RHBDL1,ENSMUSG00000025735,Rhbdl1,Q8VC82
ENSG00000103942,Q9NSB8,HOMER2,ENSMUSG00000025813,Homer2,Q9QWW1
ENSG00000104205,Q96BR1,SGK3,ENSMUSG00000025915,Sgk3,Q9ERE3
