Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131,mouse_accession,Description,Coverage [%]
61.2,41.4,41.9,65.8,52.6,39.6,57.9,49.2,45.6,48.6,35.2,31.1,34.4,32.6,35.5,33.1,25.2,34.4,20.5,51,O35945,"Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus OX=10090 GN=Aldh1a7 PE=1 SV=1",17
50.1,32.2,55.4,50,53,56.3,54.8,37.4,50.8,41,36.9,37.4,51.3,49.7,51,43.9,43.1,34.6,36.3,51.2,Q9D7A8,Armadillo repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Armc1 PE=1 SV=1,13
,,,,,,,,,,117.9,84.2,102.9,112.5,72.1,86.4,66.1,80.1,59.1,110.3,Q5FWH2,Putative E3 ubiquitin-protein ligase UNKL OS=Mus musculus OX=10090 GN=Unkl PE=2 SV=2,1
48.9,28.2,39.7,43.5,37.4,46.9,34.7,35.4,43.8,38.5,48.2,51,52.2,57.1,56.4,54.3,35.9,43.7,47.2,64.5,Q8R3F5,"Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Mus musculus OX=10090 GN=Mcat PE=1 SV=3",19
312.3,189.7,254.9,297.3,311.4,283.3,308.1,248.2,281.9,265.4,130.7,115.2,152,144.8,159.2,146.2,124.8,126.1,101.2,165.7,P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1",17
82.3,34.6,79.9,68.2,64.4,83.7,76.9,56,64.6,60.8,79,74.3,92.6,72.7,79.1,93,62.2,59.4,50.1,104.8,P70297,Signal transducing adapter molecule 1 OS=Mus musculus OX=10090 GN=Stam PE=1 SV=3,2
34.6,14,37.1,46,36.8,35.4,36.9,29.9,39.3,26.5,26.4,23.9,35.6,27.1,27.5,39.7,23.3,27.1,25.2,36.3,Q9CSU0,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus OX=10090 GN=Rprd1b PE=1 SV=2,14
100.1,71.6,86,178.4,101.4,114,113.5,83.4,94.9,101.3,152.5,148.1,170,157.2,205,176.7,135.3,135,142.3,201.1,Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2",13
71.3,45.9,59,83.8,62.8,69.7,70.6,54.6,69.3,62.1,75,68.8,95.4,88.1,80.3,83.2,60.9,75.2,56.1,90.5,Q3URE1,"Malonate--CoA ligase ACSF3, mitochondrial OS=Mus musculus OX=10090 GN=Acsf3 PE=1 SV=2",15
246.7,168.6,262.3,295.8,239.7,250.5,261.3,268.6,215.8,254.3,82.3,73.2,105.4,85.2,103.4,94,335,108.7,82.2,143.8,P47806,Zinc finger protein GLI1 OS=Mus musculus OX=10090 GN=Gli1 PE=1 SV=4,1
62.8,34.6,77.3,68.9,58.6,63.7,65.6,51.5,57.6,62.6,16.5,18,31.9,26.3,19.8,31.4,23.1,27.5,15.8,29.4,Q61584,Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus OX=10090 GN=Fxr1 PE=1 SV=2,5
,,,,,,,,,,16,11.4,27.1,17.6,20.1,20.5,12.3,19.1,14.6,21.3,Q0VGB7,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Mus musculus OX=10090 GN=Ppp4r2 PE=1 SV=1,2
61,37.4,65,73.7,52.2,49.6,54.1,36,49.9,43.6,22.3,23.5,29.8,27.7,26.8,28.8,17.3,19.5,19.9,31.1,Q8R104,NAD-dependent protein deacetylase sirtuin-3 OS=Mus musculus OX=10090 GN=Sirt3 PE=1 SV=2,21
53.8,29.4,62.9,109,58.2,63.5,58.9,52.3,65.1,61.2,21.9,20.1,33.8,24,32.5,33.9,20.3,19.4,18.6,38.7,P01901,"H-2 class I histocompatibility antigen, K-B alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1",20
,,,,,,,,,,7.8,9.1,14.6,11.1,9.6,9.5,19.7,9.2,8.9,13,Q3UBZ5,MIF4G domain-containing protein OS=Mus musculus OX=10090 GN=Mif4gd PE=1 SV=1,11
,,,,,,,,,,137.6,149.8,144.1,176.4,154.2,143.4,112.3,135.8,85.4,175.7,Q9DB28,Ribonuclease P/MRP protein subunit POP5 OS=Mus musculus OX=10090 GN=Pop5 PE=1 SV=1,4
19.9,11.2,23.4,22.4,20.9,22.8,21.3,20.1,21.1,17.1,23.1,20.1,33.8,20.8,27.9,28.1,21.8,24.5,21.3,29.4,Q99LM2,CDK5 regulatory subunit-associated protein 3 OS=Mus musculus OX=10090 GN=Cdk5rap3 PE=1 SV=1,10
32.3,20.7,40.3,48.3,43.6,39.4,40.3,32.5,45.1,36.8,27.5,26.5,50.3,37,43.6,44.8,30.5,30.1,30.5,45.4,Q7TMY4,THO complex subunit 7 homolog OS=Mus musculus OX=10090 GN=Thoc7 PE=1 SV=2,6
194,126.8,166.3,320.5,148.1,205.1,208.8,161.8,141.4,160.6,201.9,211.2,361.3,278.8,251.5,238.6,205.2,215.5,147.4,307.7,P53026,60S ribosomal protein L10a OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=3,7
73,39.4,62.8,98.4,66.4,103.8,102.2,70.6,85.2,81.3,53.9,51.8,75.1,60,63,65.1,48.2,55,42.8,69.1,P46467,Vacuolar protein sorting-associated protein 4B OS=Mus musculus OX=10090 GN=Vps4b PE=1 SV=2,13
