Checked,Master,Accession,Description,Coverage,# Peptides,# PSMs (peptide-spectrum matches),# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI (isoelecric point),Ratios: (BA_Casis) / (Pool),Ratios: (GC_Casis) / (Pool),Ratios: (FLIGHT_Casis) / (Pool),Ratio Standard Errors [%]: (BA_Casis) / (Pool),Ratio Standard Errors [%]: (GC_Casis) / (Pool),Ratio Standard Errors [%]: (FLIGHT_Casis) / (Pool),emPAI,# Peptides A2,# Cumulative Decoys A2,FDR A2,Confidence A2,|Log Prob| A2
FALSE,IsMasterProtein,A2ASS6,Titin OS=Mus musculus GN=Ttn PE=1 SV=1,26.8679180984296,743,946,718,1,35213,3904.053,6.2,0.66,3.42,0.68,22.02,120.95,30.17,,743,0,0,Green,1855.83395543586
FALSE,IsMasterProtein,Q8C196,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2",90,158,2109,156,1,1500,164.514,6.92,1.54,1.27,1.2,21.93,24.72,16.75,,158,0,0,Green,996.281591137892
FALSE,IsMasterProtein,P19096,Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2,81.3498402555911,166,548,163,1,2504,272.257,6.58,1.22,1.43,1.42,28.37,8.27,32.55,,166,0,0,Green,908.229543102723
FALSE,IsMasterProtein,Q5SX40,Myosin-1 OS=Mus musculus GN=Myh1 PE=1 SV=1,70.9062821833162,194,612,185,1,1942,223.203,5.76,0.21,4.89,0.47,37.37,134.56,53.17,,194,0,0,Green,809.805748873281
FALSE,IsMasterProtein,Q9QXS1,Plectin OS=Mus musculus GN=Plec PE=1 SV=3,51.2044340225965,220,319,212,1,4691,533.861,5.96,1.45,1.63,1.09,10.37,20.49,15.39,,220,0,0,Green,723.780280442871
FALSE,IsMasterProtein,P26039,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2,68.0440771349862,145,291,143,1,2541,269.653,6.18,1.5,1.36,1.26,9.51,9.29,14.06,,145,0,0,Green,651.824774051025
FALSE,IsMasterProtein,Q9JHU4,Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2,46.1024978466839,196,271,190,1,4644,531.71,6.42,1.34,1.45,1.19,11.01,7.88,14.33,,196,0,0,Green,623.475754010844
FALSE,IsMasterProtein,Q8VDD5,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,70.6632653061224,173,394,170,1,1960,226.232,5.66,1.52,1.39,1.21,11.93,13.4,14.95,,173,0,0,Green,603.166868366218
FALSE,IsMasterProtein,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1,92.2394678492239,94,531,92,1,902,98.647,5.91,1.4,1.36,1.25,22.43,27.02,23.34,,94,0,0,Green,581.364968902534
FALSE,IsMasterProtein,Q80X90,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3,57.9554189085319,116,204,114,1,2602,277.651,5.71,1.5,1.46,1.27,11.77,17.13,15.68,,116,0,0,Green,549.627795251169
FALSE,IsMasterProtein,B2RXX6,Spna2 protein OS=Mus musculus GN=Sptan1 PE=2 SV=1,67.2587807832055,159,266,159,1,2477,285.005,5.34,1.46,1.4,1.14,9.08,11,10.12,,159,0,0,Green,544.095207972974
