hgnc_symbol,human_ensembl_gene_id,mouse_ensembl_gene_id,external_gene_name
CYP51A1,ENSG00000001630,ENSMUSG00000001467,Cyp51
KRIT1,ENSG00000001631,ENSMUSG00000000600,Krit1
POLDIP2,ENSG00000004142,ENSMUSG00000001100,Poldip2
VPS50,ENSG00000004766,ENSMUSG00000001376,Vps50
MEOX1,ENSG00000005102,ENSMUSG00000001493,Meox1
ITGA3,ENSG00000005884,ENSMUSG00000001507,Itga3
IFRD1,ENSG00000006652,ENSMUSG00000001627,Ifrd1
LGALS14,ENSG00000006659,ENSMUSG00000001123,Lgals9
LGALS13,ENSG00000105198,ENSMUSG00000001123,Lgals9
LGALS16,ENSG00000249861,ENSMUSG00000001123,Lgals9
SLC13A2,ENSG00000007216,ENSMUSG00000001095,Slc13a2
SCN4A,ENSG00000007314,ENSMUSG00000001027,Scn4a
NFIX,ENSG00000008441,ENSMUSG00000001911,Nfix
SCMH1,ENSG00000010803,ENSMUSG00000000085,Scmh1
VSIG2,ENSG00000019102,ENSMUSG00000001943,Vsig2
HOXC8,ENSG00000037965,ENSMUSG00000001657,Hoxc8
CDH1,ENSG00000039068,ENSMUSG00000000303,Cdh1
LTBP1,ENSG00000049323,ENSMUSG00000001870,Ltbp1
NRIP2,ENSG00000053702,ENSMUSG00000001520,Nrip2
MXD1,ENSG00000059728,ENSMUSG00000001156,Mxd1
TSPAN32,ENSG00000064201,ENSMUSG00000000244,Tspan32
NGFR,ENSG00000064300,ENSMUSG00000000120,Ngfr
GNAI3,ENSG00000065135,ENSMUSG00000000001,Gnai3
KLF6,ENSG00000067082,ENSMUSG00000000078,Klf6
RRP15,ENSG00000067533,ENSMUSG00000001305,Rrp15
HEATR6,ENSG00000068097,ENSMUSG00000000976,Heatr6
COASY,ENSG00000068120,ENSMUSG00000001755,Coasy
TFE3,ENSG00000068323,ENSMUSG00000000134,Tfe3
MNT,ENSG00000070444,ENSMUSG00000000282,Mnt
EPN2,ENSG00000072134,ENSMUSG00000001036,Epn2
ACAP1,ENSG00000072818,ENSMUSG00000001588,Acap1
